local_name,local_owner,local_url,local_visibility,local_is_private,local_total_feature_files,local_downloaded_files,local_download_date,local_status,local_directory,local_feature_files_count,local_feature_files_total_size,local_feature_files_avg_size,local_feature_files_min_size,local_feature_files_max_size,github_name,github_full_name,github_description,github_stars,github_watchers,github_forks,github_open_issues,github_size_kb,github_created_at,github_updated_at,github_pushed_at,github_default_branch,github_private,github_archived,github_disabled,github_topics,github_homepage,github_languages,github_language_bytes,github_language_primary,github_contributors_count,github_top_contributors,github_last_release,github_open_prs_count,github_last_commit_date,github_license,github_readme_size,github_subscribers_count,github_network_count,github_has_wiki,github_has_pages,github_has_downloads,github_has_discussions,github_allow_forking,github_web_commit_signoff_required,user_stories_count,scenarios_count
rails_dev_directory,engineyard,https://github.com/engineyard/rails_dev_directory,public,FALSE,28,28,2025-11-26 03:04:28,success,output\2-PaserAndFiltering\randonSelecedUS\engineyard_rails_dev_directory,28,42683,1.524.392.857.142.850,592,4461,rails_dev_directory,engineyard/rails_dev_directory,Rails Development Directory,129,129,19,3,9271,2009-10-14T16:03:37Z,2022-01-12T00:02:45Z,2014-09-17T17:13:24Z,master,FALSE,FALSE,FALSE,,,"Ruby, CSS, JavaScript",270948,Ruby,5,"paulca, gpxl, jlindley",,0,2014-09-17T17:13:24Z,,1060,108,19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,20,38
core-banking-prototype-laravel,FinAegis,https://github.com/FinAegis/core-banking-prototype-laravel,public,FALSE,23,23,2025-11-26 02:54:22,success,output\2-PaserAndFiltering\randonSelecedUS\FinAegis_core-banking-prototype-laravel,23,109022,4.740.086.956.521.730,1234,10854,core-banking-prototype-laravel,FinAegis/core-banking-prototype-laravel,FinAegis,152,152,27,1,16419,2024-08-14T16:54:26Z,2026-02-08T17:43:40Z,2026-02-08T17:43:36Z,main,FALSE,FALSE,FALSE,,,"PHP, Blade, Vue, Gherkin, Shell, Python, JavaScript, TypeScript, Dockerfile, Go Template, CSS",18711457,PHP,1,YOzaz,v2.8.0,0,2026-02-08T17:43:36Z,Other,15012,7,27,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,23,193
search-gov,GSA,https://github.com/GSA/search-gov,public,FALSE,20,20,2025-11-26 08:28:59,success,output\2-PaserAndFiltering\randonSelecedUS\GSA_search-gov,20,200745,10037.25,710,45253,search-gov,GSA/search-gov,Source code for the GSA's Search.gov search engine,67,67,45,29,339235,2018-02-26T13:46:42Z,2026-02-05T19:03:52Z,2026-02-07T16:15:26Z,main,FALSE,FALSE,FALSE,maintained,https://search.gov,"Ruby, HTML, TypeScript, CSS, Gherkin, Haml, Less, CoffeeScript, Shell, JavaScript, Dockerfile",4041816,Ruby,5,"loren, eigenpath, greggersh",8.2.2000,1,2026-02-05T19:03:08Z,,16542,17,45,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,12,148
free-dropshipping-automation-software,inventorypapa,https://github.com/inventorypapa/free-dropshipping-automation-software,public,FALSE,643,643,2025-11-26 09:01:53,success,output\2-PaserAndFiltering\randonSelecedUS\inventorypapa_free-dropshipping-automation-software,643,1051721,1.635.646.967.340.590,367,10008,free-dropshipping-automation-software,inventorypapa/free-dropshipping-automation-software,"Free Dropshipping Automation Software By InventoryPapa, Dropship Software, Dropshipping Software",50,50,14,1,27908,2022-01-16T14:18:54Z,2026-02-03T13:48:46Z,2022-02-20T00:56:21Z,main,FALSE,FALSE,FALSE,"dropship, dropship-automation, dropship-software, dropshipping, dropshipping-automation, dropshipping-software, self-hosted-dropship-software, self-hosted-dropshipping-software",https://www.inventorypapa.com,"PHP, Gherkin, Twig, JavaScript, SCSS, Shell",8649735,PHP,1,inventorypapa,,0,2022-02-20T00:56:04Z,MIT License,233,1,14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,642,1612
ivozprovider,irontec,https://github.com/irontec/ivozprovider,public,FALSE,698,698,2025-11-26 02:35:04,success,output\2-PaserAndFiltering\randonSelecedUS\irontec_ivozprovider,698,1370761,19.638.409.742.120.300,0,23754,ivozprovider,irontec/ivozprovider,IVOZ Provider - Multitenant solution for VoIP telephony providers,220,220,84,83,122749,2016-10-13T09:23:56Z,2026-02-04T11:15:02Z,2026-02-03T10:10:45Z,main,FALSE,FALSE,FALSE,"multitenant, pbx, platform, provider, scale, sip, telephony, voip",https://faktoria.irontec.com/,"PHP, TypeScript, Gherkin, JavaScript, Shell, Python, Go, Dockerfile, HTML, Perl, CSS, Twig, Vim Script",12358891,PHP,5,"mmadariaga, Kaian, cruzccl",v4.6.0,1,2026-02-03T10:09:28Z,GNU General Public License v3.0,7290,36,84,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,663,1253
IRP,IRPTeam,https://github.com/IRPTeam/IRP,public,FALSE,340,340,2025-11-26 18:19:55,success,output\2-PaserAndFiltering\randonSelecedUS\IRPTeam_IRP,340,38493650,11.321.661.764.705.800,652,3239916,IRP,IRPTeam/IRP,IRP Core,90,90,117,90,143671,2020-06-02T13:37:53Z,2025-12-26T14:15:24Z,2026-01-26T16:37:55Z,develop,FALSE,FALSE,FALSE,"1c, 1c-edt, 1c-enterprise, edt, erp, irp",,"1C Enterprise, PowerShell",12081833,1C Enterprise,5,"DitriXNew, Severnity, andreyvorobyov2",2024.31.4731,1,2025-12-26T14:15:20Z,,4282,5,117,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,19,128
karma,karma-runner,https://github.com/karma-runner/karma,public,FALSE,24,24,2025-11-25 22:48:53,success,output\2-PaserAndFiltering\randonSelecedUS\karma-runner_karma,24,40665,1.694.375,528,8516,karma,karma-runner/karma,Spectacular Test Runner for JavaScript,11972,11972,1721,389,10735,2011-10-12T07:55:46Z,2026-02-04T23:20:11Z,2026-01-21T23:03:42Z,master,FALSE,FALSE,FALSE,"bdd, browser, jasmine, javascript, karma, mocha, qunit, tdd, test-runner",http://karma-runner.github.io,"JavaScript, Gherkin, HTML, CoffeeScript, Shell, TypeScript, LiveScript",765146,JavaScript,5,"vojtajina, dignifiedquire, johnjbarton",v6.4.4,1,2024-07-29T17:42:11Z,MIT License,6683,308,1721,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,24,63
LedgerSMB,ledgersmb,https://github.com/ledgersmb/LedgerSMB,public,FALSE,39,39,2025-11-26 01:56:08,success,output\2-PaserAndFiltering\randonSelecedUS\ledgersmb_LedgerSMB,39,122097,31.306.923.076.923.000,161,17223,LedgerSMB,ledgersmb/LedgerSMB,Double-entry accounting & ERP for the web,519,519,165,144,268279,2014-04-05T16:43:59Z,2026-02-07T18:44:32Z,2026-02-08T15:57:53Z,master,FALSE,FALSE,FALSE,"accounting, billing, bookkeeping, double-entry-accounting, fixed-asset, general-ledger, hacktoberfest, inventory, inventory-management, invoicing, manufacturing, material-cards, orders, payments, postgresql, projects, purchasing, quotations, time-tracking, web-app",https://ledgersmb.org,"Perl, PLpgSQL, HTML, JavaScript, Gherkin, CSS, TeX, Vue, Shell, Makefile, Gnuplot, Sass",6032088,Perl,5,"ehuelsmann, einhverfr, ylavoie",1.13.2,1,2026-02-07T18:44:28Z,Other,7981,42,165,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,36,164
metamask-mobile,MetaMask,https://github.com/MetaMask/metamask-mobile,public,FALSE,42,42,2025-11-25 23:57:21,success,output\2-PaserAndFiltering\randonSelecedUS\MetaMask_metamask-mobile,42,63051,15.012.142.857.142.800,391,6915,metamask-mobile,MetaMask/metamask-mobile,Mobile web browser providing access to websites that use the Ethereum blockchain,2821,2821,1541,1776,1506862,2018-07-18T11:47:08Z,2026-02-08T13:50:19Z,2026-02-08T17:32:34Z,main,FALSE,FALSE,FALSE,"android, dapps-browser, ios, javascript, metamask, react-native, web3",https://metamask.io,"TypeScript, JavaScript, Shell, HTML, Kotlin, Java, Swift, Ruby, Objective-C, C++, Gherkin, Objective-C++, Dockerfile, Starlark, Python, CMake",52615397,TypeScript,5,"runway-github[bot], metamaskbot, sethkfman",v7.64.0,1,2026-02-07T18:52:23Z,Other,9670,138,1541,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,21,104
noosfero,noosfero,https://github.com/noosfero/noosfero,public,FALSE,100,100,2025-11-26 08:25:33,success,output\2-PaserAndFiltering\randonSelecedUS\noosfero_noosfero,100,322430,3224.3,501,13799,noosfero,noosfero/noosfero,"Noosfero is a Web platform for social networks. Besides the regular social network features (such as friends and communities), Noosfero offers a full-featured CMS, making every user or community profile a complete Web site with several types of content (including text, image gallery, blogs, and file uploads), RSS feeds, agenda, the possibility to set custom themes, and other features. It is also possible to run several independent social networks within the same Noosfero installation.",75,75,48,0,127024,2012-05-28T00:18:36Z,2025-07-27T06:20:35Z,2025-07-27T06:20:32Z,master,FALSE,FALSE,FALSE,,noosfero.org,"Ruby, JavaScript, HTML, SCSS, Gherkin, CSS, Slim, Shell, PHP, sed, VCL, Dockerfile, PLpgSQL, Makefile",9101248,Ruby,5,"terceiro, diguliu, leandronunes",,0,2025-07-26T06:57:34Z,GNU Affero General Public License v3.0,1796,12,48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,95,568
espace-adherent,parti-renaissance,https://github.com/parti-renaissance/espace-adherent,public,FALSE,65,65,2025-11-26 00:59:04,success,output\2-PaserAndFiltering\randonSelecedUS\parti-renaissance_espace-adherent,65,1333106,20.509.323.076.923.000,314,174188,espace-adherent,parti-renaissance/espace-adherent,Le site principal du parti Renaissance,780,780,202,8,301246,2016-12-14T18:22:36Z,2026-02-06T18:55:11Z,2026-02-06T18:55:07Z,master,FALSE,FALSE,FALSE,"php, symfony, symfony-application",https://parti-renaissance.fr,"PHP, Twig, Gherkin, SCSS, JavaScript, CSS, Makefile, HTML, Dockerfile, Shell, Smarty",14950979,PHP,5,"ottaviano, dependabot[bot], Remg",v1.22.4,1,2026-02-06T18:55:06Z,Apache License 2.0,3134,26,202,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,44,274
sf-dahlia-web,SFDigitalServices,https://github.com/SFDigitalServices/sf-dahlia-web,public,FALSE,14,14,2025-11-26 09:16:16,success,output\2-PaserAndFiltering\randonSelecedUS\SFDigitalServices_sf-dahlia-web,14,68997,4.928.357.142.857.140,1023,13848,sf-dahlia-web,SFDigitalServices/sf-dahlia-web,DAHLIA is the affordable housing portal for the City and County of San Francisco.,31,31,20,5,66294,2015-09-28T19:48:45Z,2026-02-07T00:20:36Z,2026-02-07T00:20:33Z,main,FALSE,FALSE,FALSE,"civic, government, housing, open-source",https://housing.sfgov.org,"SCSS, TypeScript, CoffeeScript, Slim, Ruby, HTML, Gherkin, JavaScript, Shell, CSS, Procfile",5659475,SCSS,5,"kaptron, chrisdolendo, menslow",v20260128,1,2026-02-07T00:20:31Z,GNU General Public License v3.0,15182,20,20,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,13,36
sharetribe,sharetribe,https://github.com/sharetribe/sharetribe,public,FALSE,114,114,2025-11-26 00:08:22,success,output\2-PaserAndFiltering\randonSelecedUS\sharetribe_sharetribe,114,251350,22.048.245.614.035.000,147,12766,sharetribe,sharetribe/sharetribe,"Sharetribe Go is Sharetribe's old source-available marketplace software, which was also available as a hosted SaaS product. Sharetribe Go is no longer actively maintained.",2437,2437,1335,3,143017,2012-05-25T15:34:17Z,2026-02-05T13:03:18Z,2026-02-02T09:13:17Z,master,FALSE,FALSE,FALSE,"marketplace, platform",https://www.sharetribe.com,"Ruby, Haml, JavaScript, SCSS, HTML, Gherkin, CSS, Shell, Dockerfile, Procfile",7210724,Ruby,5,"rap1ds, gnomet, Kusti",v12.0.0,1,2026-02-02T09:12:54Z,Other,19586,165,1335,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,45,355
Sylius,Sylius,https://github.com/Sylius/Sylius,public,FALSE,830,830,2025-11-25 23:19:49,success,output\2-PaserAndFiltering\randonSelecedUS\Sylius_Sylius,830,1536273,18.509.313.253.012.000,367,12807,Sylius,Sylius/Sylius,Headless open-source eCommerce platform on top of PHP/Symfony/API Platform,8410,8410,2162,250,359132,2011-11-05T22:05:52Z,2026-02-08T15:45:08Z,2026-02-08T03:03:50Z,2.3,FALSE,FALSE,FALSE,"api, api-ecommerce, ecommerce, ecommerce-platform, framework, hacktoberfest, headless, headless-ecommerce, php, rest-api, restful-api, shop, shopping-cart, sylius, symfony, symfony-bundle",https://sylius.com,"PHP, Gherkin, Twig, SCSS, JavaScript, Dockerfile, Shell, Makefile",14721642,PHP,5,"GSadee, pamil, Zales0123",v2.2.2,1,2026-02-06T14:25:24Z,MIT License,10836,258,2162,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,830,2321
uyuni,uyuni-project,https://github.com/uyuni-project/uyuni,public,FALSE,247,247,2025-11-26 01:53:26,success,output\2-PaserAndFiltering\randonSelecedUS\uyuni-project_uyuni,247,990770,40.112.145.748.987.800,243,48574,uyuni,uyuni-project/uyuni,Source code for Uyuni,541,541,234,541,1544797,2018-08-02T12:31:20Z,2026-02-07T14:50:51Z,2026-02-08T14:04:46Z,master,FALSE,FALSE,FALSE,"container, cucumber, hacktoberfest, hacktoberfest-accepted, java, linux, podman, postgresql, python, reactjs, saltstack, spacewalk, suse-manager, suse-multi-linux-manager, system-management, uyuni",https://www.uyuni-project.org/,"Java, Python, PLpgSQL, TypeScript, Gherkin, Ruby, PLSQL, Shell, Perl, SaltStack, JavaScript, SCSS, Makefile, Dockerfile, Pug, Roff, CSS, XSLT, HTML, Go Template, Awk, Scheme, templ, sed",41027561,Java,5,"mcalmer, MichaelMraka, adelton",,1,2026-02-05T17:15:36Z,GNU General Public License v2.0,1220,32,234,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,74,2147
vega,vegaprotocol,https://github.com/vegaprotocol/vega,public,FALSE,611,611,2025-11-26 09:09:33,success,output\2-PaserAndFiltering\randonSelecedUS\vegaprotocol_vega,611,7539320,12.339.312.602.291.300,648,133316,vega,vegaprotocol/vega,"A Go implementation of the Vega Protocol, a protocol for creating and trading derivatives on a fully decentralised network.",44,44,22,217,238543,2020-04-03T16:27:50Z,2025-12-29T21:34:11Z,2025-02-03T15:58:20Z,develop,FALSE,FALSE,FALSE,"golang, vega, vega-protocol, vega-protocol-validators",https://vega.xyz,"Go, Gherkin, C++, PLpgSQL, Shell, Makefile, Dockerfile",27326026,Go,5,"jeremyletang, EVODelavega, ze97286",v0.78.8,1,2024-11-08T10:05:47Z,GNU Affero General Public License v3.0,630,17,22,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,104,990
