repositorio,arquivo,similaridade embedding,similaridade TF-IDF,qtd_cenarios_originais,qtd_cenarios_llm,qtd_linhas_llm,qtd_linhas_originais,qtd_palavras_llm,qtd_palavras_originai,qtd_caracteres_llm,qtd_caracteres_oriinais
camptocamp_oerpscenario,pay_invoice_story_processado.txt,0.69590,0.40930,1,5,35,20,270,172,1467,1020
camptocamp_oerpscenario,account_bank_statement_story_processado.txt,0.69550,0.60520,2,5,33,39,237,330,1540,2290
coreshop_CoreShop,discount_percent_action_tax_100_and_free_shipping_and_gross_values_story_processado.txt,0.69130,0.61800,1,5,37,14,284,109,1564,629
coreshop_CoreShop,discount_percent_gross_action_story_processado.txt,0.68900,0.58160,1,5,35,11,273,88,1601,511
sharetribe_sharetribe,user_filters_listings_by_custom_fields_story_processado.txt,0.68560,0.05330,2,5,37,97,301,554,2030,3303
GSA_search-gov,bulk_affiliate_styles_upload_story_processado.txt,0.68150,0.61730,1,5,35,16,262,126,1569,857
3scale_porta,activation_story_processado.txt,0.68100,0.40040,4,5,32,34,243,179,1581,1150
billabear_billabear,limit_customer_story_processado.txt,0.67550,0.53670,2,5,30,18,228,83,1511,591
cross-solution_YAWIK,login_story_processado.txt,0.67060,0.18110,4,5,34,33,234,137,1485,807
sharetribe_sharetribe,admin_edits_welcome_email_story_processado.txt,0.66770,0.53520,2,5,38,38,311,248,2036,1581
karma-runner_karma,launcher-error_story_processado.txt,0.66660,0.45960,1,5,34,6,251,17,1503,109
inventorypapa_free-dropshipping-automation-software,sorting_payment_methods_by_position_story_processado.txt,0.66500,0.74930,3,5,27,24,250,146,1613,872
coreshop_CoreShop,country_condition_2_story_processado.txt,0.66500,0.59410,2,5,37,18,306,126,1951,768
irontec_ivozprovider,removeDomains_2_story_processado.txt,0.65940,0.38560,1,5,35,9,304,44,1914,308
alphagov_whitehall,unwithdrawing-withdrawn-documents_story_processado.txt,0.64950,0.39300,1,5,30,8,208,48,1447,321
parti-renaissance_espace-adherent,zones_story_processado.txt,0.64790,0.50810,3,5,31,29,256,203,1595,1224
SFDigitalServices_sf-dahlia-web,sign_in_while_applying_story_processado.txt,0.64590,0.36900,12,5,39,220,318,1884,2033,10654
Sylius_Sylius,seeing_shipping_method_when_all_units_match_to_shipping_category_story_processado.txt,0.64390,0.70230,5,5,29,55,251,373,1721,2308
billabear_billabear,confirm_email_story_processado.txt,0.64390,0.36020,2,5,35,13,287,69,1927,520
irontec_ivozprovider,getExternalCallFilterBlackList_story_processado.txt,0.64110,0.27150,2,5,31,22,277,131,1750,920
GSA_search-gov,admin_center_clicks_and_queries_story_processado.txt,0.63650,0.43080,1,5,29,24,269,164,1653,999
engineyard_rails_dev_directory,admin_top_cities_story_processado.txt,0.63340,0.57860,1,5,35,19,310,99,1714,606
AgileVentures_LocalSupport,edit_own_charity_profile_story_processado.txt,0.63280,0.29280,14,5,36,147,304,996,1977,5888
camptocamp_oerpscenario,sale_story_processado.txt,0.63080,0.56760,3,5,32,55,254,435,1578,2672
3scale_porta,index_13_story_processado.txt,0.63050,0.53100,11,5,29,119,270,575,1925,3757
ledgersmb_LedgerSMB,in-arrears-purchase_story_processado.txt,0.62970,0.43340,3,5,33,23,231,118,1579,662
Cocolabs-SAS_cocorico,Breadcrumb_story_processado.txt,0.62890,0.47470,3,5,27,168,168,1402,1086,9078
billabear_billabear,create_product_1_story_processado.txt,0.62830,0.49380,5,5,33,37,244,235,1494,1438
api-platform_core,absolute_url_story_processado.txt,0.62750,0.19750,4,5,29,33,207,192,1540,1311
irontec_ivozprovider,removeSpecialNumber_1_story_processado.txt,0.62510,0.27500,1,5,33,9,292,45,1744,325
ledgersmb_LedgerSMB,search-batches_story_processado.txt,0.61800,0.61200,4,5,29,50,266,365,1858,2246
inventorypapa_free-dropshipping-automation-software,seeing_orders_statistics_on_customer_details_page_story_processado.txt,0.61510,0.54500,4,5,30,33,251,260,1677,1711
inventorypapa_free-dropshipping-automation-software,product_review_validation_1_story_processado.txt,0.61400,0.64810,2,5,34,19,264,108,1706,650
uyuni-project_uyuni,srv_create_fake_repositories_story_processado.txt,0.61280,0.60770,15,5,34,175,258,968,1637,7210
Sylius_Sylius,choosing_province_for_country_story_processado.txt,0.60570,0.57000,4,5,36,51,279,405,1784,2643
coreshop_CoreShop,not_discountable_discount_amount_action_story_processado.txt,0.60230,0.58330,1,5,35,10,274,81,1618,449
noosfero_noosfero,status_story_processado.txt,0.59650,0.37050,5,5,34,90,275,496,1710,3255
engineyard_rails_dev_directory,dashboard_story_processado.txt,0.59330,0.21960,1,5,29,12,218,74,1445,456
uyuni-project_uyuni,min_config_state_channel_story_processado.txt,0.59210,0.74050,17,5,32,209,329,1391,2081,8843
3scale_porta,cinstances_story_processado.txt,0.59200,0.22430,3,5,34,40,213,213,1480,1475
Sylius_Sylius,returning_from_addressing_step_to_shop_homepage_story_processado.txt,0.59070,0.45880,1,5,36,8,295,44,1709,254
sharetribe_sharetribe,search_story_processado.txt,0.59010,0.12740,7,5,33,80,261,399,1681,2465
api-platform_core,input_output_2_story_processado.txt,0.58200,0.40410,2,5,33,19,242,110,1666,778
SFDigitalServices_sf-dahlia-web,nrhp_story_processado.txt,0.58190,0.27000,2,5,32,60,300,504,1943,3028
parti-renaissance_espace-adherent,agoras_story_processado.txt,0.57780,0.54970,12,5,34,91,251,577,1519,4086
AgileVentures_LocalSupport,edit_donation_info_story_processado.txt,0.57400,0.34070,1,5,33,12,266,83,1935,591
uyuni-project_uyuni,proxy_story_processado.txt,0.56880,0.67450,13,5,34,86,245,408,1811,2748
MetaMask_metamask-mobile,NetworkFlow_story_processado.txt,0.56850,0.74270,4,5,35,103,291,743,1823,4434
api-platform_core,collection_attributes_story_processado.txt,0.56710,0.20150,1,5,29,13,244,84,1555,707
FinAegis_core-banking-prototype-laravel,basket_management_story_processado.txt,0.55920,0.43620,4,5,32,41,238,220,1514,1346
noosfero_noosfero,manage_enterprises_story_processado.txt,0.55770,0.67340,2,5,31,19,236,87,1642,575
billabear_billabear,generate_for_payment_story_processado.txt,0.55310,0.36290,1,5,33,9,293,55,1873,386
GSA_search-gov,search_elastic_story_processado.txt,0.54950,0.37930,1,5,32,7,289,39,1850,255
cross-solution_YAWIK,insert_story_processado.txt,0.54420,0.76520,2,5,36,33,265,198,1781,1256
irontec_ivozprovider,postHuntGroupMember_story_processado.txt,0.53930,0.21440,2,5,47,23,403,134,2184,916
sharetribe_sharetribe,user_checks_inbox_story_processado.txt,0.53470,0.30960,5,5,36,90,256,726,1484,4716
cross-solution_YAWIK,update_2_story_processado.txt,0.53280,0.33180,5,5,36,70,254,373,1714,2294
DataDog_datadog-api-client-typescript,service_level_objectives_1_story_processado.txt,0.52130,0.41090,8,5,32,82,243,378,1401,3134
engineyard_rails_dev_directory,admin_services_story_processado.txt,0.50750,0.52980,1,5,29,19,211,99,1402,562
ledgersmb_LedgerSMB,login_story_processado.txt,0.49850,0.41160,3,5,32,17,213,61,1390,377
api-platform_core,numeric_filter_story_processado.txt,0.49020,0.16270,4,5,30,42,274,237,1927,1731
FinAegis_core-banking-prototype-laravel,financial_institutions_application_story_processado.txt,0.48710,0.21100,5,5,34,61,243,339,1947,2483
IRPTeam_IRP,_00505CurrencyMovementType_story_processado.txt,0.47850,0.44640,1,5,39,22,377,143,2483,947
Cocolabs-SAS_cocorico,Message_story_processado.txt,0.46370,0.34240,5,5,30,70,217,553,1540,3349
parti-renaissance_espace-adherent,scopes_story_processado.txt,0.46160,0.36470,8,5,29,68,234,323,1445,2296
MetaMask_metamask-mobile,RequestTokenFlow_story_processado.txt,0.45880,0.28570,3,5,29,76,222,566,1344,3157
ledgersmb_LedgerSMB,chart-of-accounts_story_processado.txt,0.45640,0.52170,4,5,37,101,287,881,1884,5255
IRPTeam_IRP,_0296Unbundling_story_processado.txt,0.45180,0.22730,8,5,33,229,307,1548,2122,10157
noosfero_noosfero,forum_story_processado.txt,0.44760,0.53870,12,5,29,168,210,722,1261,4866
DataDog_datadog-api-client-typescript,dora_metrics_story_processado.txt,0.44680,0.17980,21,5,31,199,188,1076,1250,9709
uyuni-project_uyuni,min_bootstrap_negative_story_processado.txt,0.44660,0.05920,5,5,35,72,268,508,1763,3025
vegaprotocol_vega,trading_fees_spot_story_processado.txt,0.44650,0.43200,1,5,32,62,224,588,1406,3873
IRPTeam_IRP,_00503TaxRatesCatalog_story_processado.txt,0.44450,0.30960,1,5,35,52,293,417,1694,2666
Cocolabs-SAS_cocorico,ListingSearch_story_processado.txt,0.44280,0.39410,5,5,29,60,197,417,1358,2413
IRPTeam_IRP,_00509PaymentTermsCatalog_story_processado.txt,0.43780,0.45070,1,5,36,10,285,70,1825,490
karma-runner_karma,headers_story_processado.txt,0.43230,0.25660,1,5,28,6,256,18,1847,115
engineyard_rails_dev_directory,pages_story_processado.txt,0.43180,0.33970,1,5,34,19,259,104,1568,717
Cocolabs-SAS_cocorico,Review_story_processado.txt,0.42760,0.09300,3,5,36,58,265,459,1712,2698
DataDog_datadog-api-client-typescript,gcp_integration_1_story_processado.txt,0.42290,0.19180,22,5,38,223,299,1319,2032,13026
cross-solution_YAWIK,apply_story_processado.txt,0.40860,0.42870,2,5,37,42,295,249,1869,1518
DataDog_datadog-api-client-typescript,logs_custom_destinations_story_processado.txt,0.40820,0.12680,19,5,30,291,252,2001,1772,21828
MetaMask_metamask-mobile,SendEthGasApiDown_story_processado.txt,0.39370,0.30780,1,5,40,24,307,182,1925,1074
vegaprotocol_vega,0068-MATC-073_story_processado.txt,0.36110,0.35630,1,5,29,5,247,33,1379,199
alphagov_whitehall,policy-groups_story_processado.txt,0.35130,0.65390,2,5,38,14,350,60,2358,371
parti-renaissance_espace-adherent,user_controller_donation_story_processado.txt,0.32880,0.15060,1,5,28,16,181,115,1239,742
noosfero_noosfero,edit_block_of_links_story_processado.txt,0.32070,0.18380,1,5,36,10,275,41,1662,310
AgileVentures_LocalSupport,category_import_story_processado.txt,0.28730,0.00000,1,5,34,4,271,13,1628,84
FinAegis_core-banking-prototype-laravel,batch_processing_story_processado.txt,0.24830,0.01350,10,5,34,99,238,477,1580,3381
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,média de erros(embedding),mediana(embedding),desvío padrão(embedding),,média de erros(TF-IDF),mediana(TF-IDF),desvío padrão(TF-IDF),,,,
,0.58085,0.59940,0.12109,,0.44446,0.43270,0.20679,,,,
