arquivo,repositorio,cenario_numero,nome_cenario,cenario,US,caminho_completo,métrica de coesão,métrica de cobertura,OBS
input_output_2_story_processado.txt,api-platform_core,cenário 3,Invalid JSON payload for password reset,"Scenario: Invalid JSON payload for password reset
  Given there is a registered user with the email ""user@example.com""
  When the client sends a password reset request with the email ""user@example.com""
  And includes an invalid JSON payload
  Then the system returns a 400 status code
  And includes an error message indicating invalid JSON",In order to use the API As a client software developer I need to be able to use DTOs on my resources as Input or Output objects.,api-platform_core\input_output_2_story_processado.txt,1,1,
numeric_filter_story_processado.txt,api-platform_core,cenário 4,Filter collection with numerical value and property converter,"Scenario: Filter collection with numerical value and property converter
  Given there is a collection of resources with numerical properties and a property converter
  When the client requests the collection with a filter by numerical value ""10"" using the property converter
  Then the system returns a JSON-LD response with the filtered collection
  And the response includes the correct pagination metadata",In order to retrieve ordered large collections of resources As a client software developer I need to retrieve collections with numerical value,api-platform_core\numeric_filter_story_processado.txt,1,1,
confirm_email_story_processado.txt,billabear_billabear,cenário 1,Confirm account with valid verification code,"Scenario: Confirm account with expired verification code
  Given there is a user who has registered with a valid email ""user@example.com""
  And the system has sent a verification code to ""user@example.com"" that has expired
  When the user enters the expired verification code
  Then the system does not confirm the user's account
  And the user's account status remains unconfirmed
  And the system displays a message indicating that the verification code has expired",In order to use the system with my personal configuration As a user I need to be able to confirm I gave a valid email during sign up,billabear_billabear\confirm_email_story_processado.txt,1,1,
create_product_1_story_processado.txt,billabear_billabear,cenário 5,Create product with valid name and no rate or rate type,"Scenario: Create product with valid name and no rate or rate type
  Given there is an authenticated APP user
  When the user creates a product with the name ""Test Product""
  Then the system creates the product successfully
  And displays the product details with no rate or rate type specified",In order to bill for products As an APP user I need to be create a product,billabear_billabear\create_product_1_story_processado.txt,1,1,
generate_for_payment_story_processado.txt,billabear_billabear,cenário 4,Generate receipt for an existing payment,"Scenario: Generate receipt for an existing payment
  Given there is an authenticated user with existing subscriptions
  And the user has a payment linked to their subscription
  When the user requests to generate a receipt for the payment
  Then the system generates a receipt for the payment
  And the receipt is consistent with the data returned by the API",In order to manage a payments As an APP user I need to be see all the payments,billabear_billabear\generate_for_payment_story_processado.txt,1,1,
limit_customer_story_processado.txt,billabear_billabear,cenário 4,Retrieve subscription limits for a customer without subscriptions,"Scenario: Retrieve subscription limits for a customer without subscriptions
  Given there is an authenticated user
  And there is an active customer without any subscriptions
  When the user queries the customer's usage limits
  Then the system returns an empty list of limits",In order to manage a customer's subscriptions As an APP user I need to be see customer's Subscription,billabear_billabear\limit_customer_story_processado.txt,1,1,
account_bank_statement_story_processado.txt,camptocamp_oerpscenario,cenário 1,Register a new invoice,"Scenario: Register a new invoice
  Given there is an existing customer with a valid account
  When the user creates a new invoice for the customer
  And enters a valid invoice amount
  Then the system registers the invoice successfully
  And displays the invoice status as ""open""",In order to test the invoicing process and modules I want to see if the basic bank statement features works,camptocamp_oerpscenario\account_bank_statement_story_processado.txt,1,1,
pay_invoice_story_processado.txt,camptocamp_oerpscenario,cenário 3,Full payment of an invoice in a different currency,"Scenario: Full payment of an invoice in a different currency
  Given there is an invoice with a total amount of €100 in EUR
  And the invoice status is ""open""
  When the user makes a payment of $110 in USD, equivalent to €100
  Then the invoice status is updated to ""paid""
  And the residual amount is €0",In order to test the pay invoice wizard I want to see if the wizard take care of complex cases,camptocamp_oerpscenario\pay_invoice_story_processado.txt,1,1,
sale_story_processado.txt,camptocamp_oerpscenario,cenário 5,Validate accounting entries for a sales order,"Scenario: Validate accounting entries for a sales order
  Given there is a sales order that has been confirmed and invoiced
  And the invoice has been paid
  When the administrator checks the accounting entries for the sales order
  Then the system displays the correct accounting entries for the transaction
  And the accounting entries are properly balanced and recorded",In order to test the sale process and modules As an administator I want to see if the sales features and workflow work well,camptocamp_oerpscenario\sale_story_processado.txt,1,1,
samples_story_processado.txt,camptocamp_oerpscenario,cenário 3,Validate an invoice,"Scenario: Validate an invoice
  Given there is an existing invoice with the status ""draft""
  When the user validates the invoice
  Then the system updates the invoice status to ""open""
  And the invoice is marked as validated",In order to show you how to work with OERPScenario I want to illustrate the basics behaviors,camptocamp_oerpscenario\samples_story_processado.txt,1,1,
Breadcrumb_story_processado.txt,Cocolabs-SAS_cocorico,cenário 2,Verify breadcrumbs for a direct child page,"Scenario: Verify breadcrumbs for a direct child page
  Given the user is on the homepage
  When the user navigates to ""Offerer""
  Then the breadcrumbs display ""Home > Offerer""",As a user I want to check my breadcrumbs,Cocolabs-SAS_cocorico\Breadcrumb_story_processado.txt,1,1,
ListingSearch_story_processado.txt,Cocolabs-SAS_cocorico,cenário 3,Search listing by features,"Scenario: Search listing by features
  Given there are listings with different features such as ""Wi-Fi"" and ""Pool""
  When the user searches for listings with the feature ""Wi-Fi""
  Then the system displays listings that have ""Wi-Fi""
  And the listings match the selected feature",As a user i want to find listing so that i can rent it,Cocolabs-SAS_cocorico\ListingSearch_story_processado.txt,1,1,
Message_story_processado.txt,Cocolabs-SAS_cocorico,cenário 4,Consult sent messages,"Scenario: Consult sent messages
  Given there is a user ""asker@example.com"" who has sent messages
  When the user ""asker@example.com"" consults their sent messages
  Then the system displays a list of sent messages
  And the list includes the recipient's information and the message content","As a user i want to send, consult and reply to a message",Cocolabs-SAS_cocorico\Message_story_processado.txt,1,1,
Review_story_processado.txt,Cocolabs-SAS_cocorico,cenário 5,User adds a review with invalid rating,"Scenario: User adds a review with invalid rating
  Given there are two registered users ""asker1"" and ""offerer1""
  And ""asker1"" has made a transaction with ""offerer1""
  When ""asker1"" tries to rate ""offerer1"" with 6 stars
  Then the system displays an error message
  And informs ""asker1"" that the rating is invalid",As a user i want to show and add rates and reviews,Cocolabs-SAS_cocorico\Review_story_processado.txt,1,1,
country_condition_2_story_processado.txt,coreshop_CoreShop,cenário 5,Create a new product when there are no active price rules,"Scenario: Create a new product when there are no active price rules
  Given there are no active price rules
  And there is a category ""Electronics""
  When the user creates a new product ""Smartphone"" associated with the category ""Electronics""
  And configures the product for the country ""USA""
  Then the system considers the product valid
  And displays a message indicating that no price rules are applied",In order to extend my catalog The catalog has a price-rule for a country I want to create a new product,coreshop_CoreShop\country_condition_2_story_processado.txt,1,1,
discount_percent_action_tax_100_and_free_shipping_and_gross_values_story_processado.txt,coreshop_CoreShop,cenário 4,Attempt to apply 100% discount voucher to an empty cart,"Scenario: Attempt to apply 100% discount voucher to an empty cart
  Given there is an empty cart
  And there is a voucher with a 100% discount
  When the user applies the voucher to the cart
  Then the system displays a message indicating that the cart is empty
  And the voucher is not applied","In order to give the customer discounts based on the cart, we add a new rule with a 100% discount",coreshop_CoreShop\discount_percent_action_tax_100_and_free_shipping_and_gross_values_story_processado.txt,1,1,
discount_percent_gross_action_story_processado.txt,coreshop_CoreShop,cenário 4,Apply voucher code on an empty cart,"Scenario: Apply voucher code on an empty cart
  Given there is an active voucher-type rule with a 10 percent discount
  And the cart is empty
  When the user applies the voucher code
  Then the system displays a message indicating that the cart is empty
  And the cart total remains 0.00","In order to give the customer discounts based on the cart, we add a new rule",coreshop_CoreShop\discount_percent_gross_action_story_processado.txt,1,1,
not_discountable_discount_amount_action_story_processado.txt,coreshop_CoreShop,cenário 1,Apply non-discountable rule to cart,"Scenario: Apply non-discountable rule to cart
  Given there is a product with a price of $100
  And a non-discountable price rule is applied to the product
  When the customer adds the product to the cart
  Then the cart total remains $100","In order to give the customer discounts based on the cart, we add a new rule",coreshop_CoreShop\not_discountable_discount_amount_action_story_processado.txt,1,1,
apply_story_processado.txt,cross-solution_YAWIK,cenário 2,Apply for a non-existent job,"Scenario: Apply for a non-existent job
  Given there is no job opening with the title ""Non Existent Job""
  When the user applies for the job ""Non Existent Job""
  And provides valid application information
  Then the system denies the job application
  And displays a message indicating that the job is not available",In order to start working As a user I should be able to apply a job,cross-solution_YAWIK\apply_story_processado.txt,1,1,
insert_story_processado.txt,cross-solution_YAWIK,cenário 2,Create organization with duplicate name,"Scenario: Create organization with duplicate name
  Given there is an admin user logged in
  And there is an existing organization with the name ""Existing Organization""
  When the admin creates a new organization with the name ""Existing Organization""
  And provides a valid description ""This is a duplicate organization""
  Then the system denies the creation
  And displays an error message indicating the organization name already exists",In order to post a job As an admin I should able to add new organization,cross-solution_YAWIK\insert_story_processado.txt,1,1,
login_story_processado.txt,cross-solution_YAWIK,cenário 4,Login with invalid email format,"Scenario: Login with invalid email format
  Given there is a registered user with a valid email and password
  When the user logs in with an invalid email format ""invalidEmail""
  And enters the correct password
  Then the system denies access
  And displays a message indicating that the email format is invalid",In order to apply job As a Visitor I want to be able to log in to Yawik,cross-solution_YAWIK\login_story_processado.txt,1,1,
update_2_story_processado.txt,cross-solution_YAWIK,cenário 4,Update multiple organization details,"Scenario: Update multiple organization details
  Given there is a recruiter logged in
  And the recruiter has an organization with the name ""Old Name"", location ""Old Location"", and logo ""old_logo.png""
  When the recruiter updates the organization name to ""New Name""
  And updates the organization location to ""New Location""
  And updates the organization logo to ""new_logo.png""
  Then the system saves the new organization details
  And displays a confirmation message",In order to post a job As a recruiter I should able to update my organization,cross-solution_YAWIK\update_2_story_processado.txt,1,1,
dora_metrics_story_processado.txt,DataDog_datadog-api-client-typescript,cenário 2,Unsuccessful DORA metrics request with invalid appKeyAuth,"Scenario: Unsuccessful DORA metrics request with invalid appKeyAuth
  Given the user has an invalid appKeyAuth
  When the user requests DORA metrics
  Then the system denies the request
  And displays an error message indicating invalid credentials","Search, send, or delete events for DORA Metrics to measure and improve your software delivery performance. See the [DORA Metrics page](https://docs.datadoghq.com/dora_metrics/) for more information. **Note**: DORA Metrics are not available in the US1-FED site.",DataDog_datadog-api-client-typescript\dora_metrics_story_processado.txt,1,1,
gcp_integration_1_story_processado.txt,DataDog_datadog-api-client-typescript,cenário 1,Create a new STS service account,"Scenario: Create a new STS service account
  Given the Datadog API is available
  And there are no existing STS service accounts with the name ""new-sts-account""
  When the user creates a new STS service account with the name ""new-sts-account""
  And configures the filters ""filter1, filter2""
  And enables CSPM and Security Command Center
  Then the system creates the STS service account successfully
  And returns the details of the newly created STS service account",Configure your Datadog-Google Cloud Platform (GCP) integration directly through the Datadog API. Read more about the [Datadog-Google Cloud Platform integration](https://docs.datadoghq.com/integrations/google_cloud _platform).,DataDog_datadog-api-client-typescript\gcp_integration_1_story_processado.txt,1,1,
logs_custom_destinations_story_processado.txt,DataDog_datadog-api-client-typescript,cenário 3,Retrieve a specific custom destination,"Scenario: Retrieve a specific custom destination
  Given there is a custom destination with the name ""My HTTP Destination""
  When the user retrieves the custom destination ""My HTTP Destination""
  Then the system displays the details of the custom destination
  And includes the name, type, and configuration of the custom destination",Custom Destinations forward all the logs ingested to an external destination.  **Note**: Log forwarding is not available for the Government (US1-FED) site. Contact your account representative for more information. See the [Custom Destinations Page](https://app.datadoghq.com/logs/pipelines/log-forwarding/custom- destinations) for a list of the custom destinations currently configured in web UI.,DataDog_datadog-api-client-typescript\logs_custom_destinations_story_processado.txt,1,1,
service_level_objectives_1_story_processado.txt,DataDog_datadog-api-client-typescript,cenário 1,Create a new SLO report,"Scenario: Create a new SLO report
  Given the user has valid Datadog API credentials
  And the SLO report details are valid
  When the user creates a new SLO report via the API
  Then the system returns a success response
  And the SLO report is stored in the system","[Service Level Objectives](https://docs.datadoghq.com/monitors/service_lev el_objectives/#configuration) (SLOs) are a key part of the site reliability engineering toolkit. SLOs provide a framework for defining clear targets around application performance, which ultimately help teams provide a consistent customer experience, balance feature development with platform stability, and improve communication with internal and external users.",DataDog_datadog-api-client-typescript\service_level_objectives_1_story_processado.txt,1,1,
admin_services_story_processado.txt,engineyard_rails_dev_directory,cenário 2,Remove an existing service,"Scenario: Remove an existing service
  Given there is a service with the name ""Existing Service""
  When the administrator removes the service ""Existing Service""
  Then the system no longer lists the service ""Existing Service""",As an Engine Yard administrator I want to be able to add and remove services So that I can adapt the system to new tech types as they are required without modifying code,engineyard_rails_dev_directory\admin_services_story_processado.txt,1,1,
admin_top_cities_story_processado.txt,engineyard_rails_dev_directory,cenário 4,Add a new top city with invalid information,"Scenario: Add a new top city with invalid information
  Given there is an admin logged in
  When the admin adds ""123"" as a top city
  And sets its state to ""New York"" and country to ""USA""
  Then the system does not add ""123"" to the top cities list
  And displays a message indicating that the city name is invalid",In order to choose what top cities appear in the top cities section As an admin I want to be able to add top cities,engineyard_rails_dev_directory\admin_top_cities_story_processado.txt,1,1,
dashboard_story_processado.txt,engineyard_rails_dev_directory,cenário 1,Provider views account overview on dashboard after login,"Scenario: Provider views account overview on dashboard after login
  Given there is a registered provider with the company ""ABC Solutions""
  And the provider has 5 open requests and 2 new endorsements
  When the provider logs in
  Then the dashboard displays the provider's account overview
  And includes the number of open requests and new endorsements",As a Provider I want to see my account overview on the dashboard So that when I login I can see information that is important to me without digging for it,engineyard_rails_dev_directory\dashboard_story_processado.txt,1,1,
pages_story_processado.txt,engineyard_rails_dev_directory,cenário 5,Attempt to add a new page with missing required fields,"Scenario: Attempt to add a new page with missing required fields
  Given there is an Engine Yard administrator logged in
  When the administrator adds a new page with missing title
  Then the system displays an error message
  And indicates that the title is required",As an Engine Yard administrator I want to add pages So that I can add static content to the site,engineyard_rails_dev_directory\pages_story_processado.txt,1,1,
basket_management_story_processado.txt,FinAegis_core-banking-prototype-laravel,cenário 5,Attempt to create a basket asset with invalid composition,"Scenario: Attempt to create a basket asset with invalid composition
  Given there is a bank customer with an active account
  When the customer creates a new basket asset with an invalid composition
  Then the system denies the creation of the basket asset
  And displays an error message indicating the invalid composition",In order to diversify my holdings As a bank customer I need to be able to create and manage basket assets,FinAegis_core-banking-prototype-laravel\basket_management_story_processado.txt,1,1,
batch_processing_story_processado.txt,FinAegis_core-banking-prototype-laravel,cenário 5,Rebalance an existing asset basket,"Scenario: Rebalance an existing asset basket
  Given the system administrator is logged in
  And there is an existing asset basket with assets
  When the administrator rebalances the asset basket
  Then the system rebalances the asset basket
  And displays a confirmation message indicating the new composition",In order to efficiently handle bulk operations As a system administrator I need to execute batch operations with proper error handling and compensation,FinAegis_core-banking-prototype-laravel\batch_processing_story_processado.txt,1,1,
financial_institutions_application_story_processado.txt,FinAegis_core-banking-prototype-laravel,cenário 5,Partnership application submission with invalid data,"Scenario: Partnership application submission with invalid data
  Given there is a financial institution registered with FinAegis
  When the financial institution submits a partnership application
  And provides invalid partnership details
  Then the system rejects the partnership application
  And displays an error message indicating the invalid data fields",In order to partner with FinAegis As a financial institution I need to be able to submit a partnership application,FinAegis_core-banking-prototype-laravel\financial_institutions_application_story_processado.txt,1,1,
governance_voting_story_processado.txt,FinAegis_core-banking-prototype-laravel,cenário 2,Vote on an existing proposal with sufficient voting power,"Scenario: Vote on an existing proposal with sufficient voting power
  Given there is a stakeholder with tokens staked and a proposal exists
  When the stakeholder votes on the existing proposal
  Then the system records the vote
  And updates the proposal's voting results",In order to participate in platform governance As a stakeholder I need to be able to create and vote on proposals,FinAegis_core-banking-prototype-laravel\governance_voting_story_processado.txt,1,1,
admin_center_clicks_and_queries_story_processado.txt,GSA_search-gov,cenário 3,View clicked URLs from a specific query,"Scenario: View clicked URLs from a specific query
  Given there is a search query with associated clicked URLs in the system
  When the site administrator selects a search query to analyze
  Then the system displays the clicked URLs that resulted from the query
  And the list includes the number of clicks for each URL","In order to see the correlation between user queries and clicked URLs As a site customer I want to see top clicked URLs, the queries that led to them, and the clicked URLs that came from those queries",GSA_search-gov\admin_center_clicks_and_queries_story_processado.txt,1,1,
bulk_affiliate_styles_upload_story_processado.txt,GSA_search-gov,cenário 1,Upload a valid file within the size limit,"Scenario: Upload a valid file within the size limit
  Given there is an admin user logged in
  And a valid file containing affiliate site styles with a size of 3 MB
  When the admin uploads the file
  Then the system processes the file
  And displays a confirmation message                                                          ",In order to give affiliates the ability to submit a file of URLs for indexing As an admin I want to upload a file containing Affiliate Styles,GSA_search-gov\bulk_affiliate_styles_upload_story_processado.txt,1,1,
odie_url_source_update_story_processado.txt,GSA_search-gov,cenário 2,Update document source for an invalid affiliate,"Scenario: Update document source for an invalid affiliate
  Given there is no affiliate with the identifier ""invalid_affiliate""
  When the admin requests to update the document source to ""manual"" for the affiliate ""invalid_affiliate""
  And confirms the update operation
  Then the system displays an error message indicating the affiliate does not exist
  And does not queue a job to update the document source",In order to meet customer needs As an admin I want to update the source of all of a specific affiliate's indexed documents from rss to manual,GSA_search-gov\odie_url_source_update_story_processado.txt,1,1,
search_elastic_story_processado.txt,GSA_search-gov,cenário 5,Search with multiple terms,"Scenario: Search with multiple terms
  Given the site visitor is on a site using the SearchElastic search engine
  And the Elasticsearch index contains relevant results for the terms ""space exploration""
  When the site visitor performs a search for ""space exploration""
  Then the system displays a list of relevant search results
  And the results are relevant to both ""space"" and ""exploration"" terms",In order to get results directly form elasticsearch As a site visitor to a site using the SearchElastic search engine I want to be able to search an site using the SearchElastic search engine,GSA_search-gov\search_elastic_story_processado.txt,1,1,
browsing_inventory_story_processado.txt,inventorypapa_free-dropshipping-automation-software,cenário 4,Browse tracked product variants with pagination,"Scenario: Browse tracked product variants with pagination
  Given there are multiple pages of tracked product variants in the inventory
  When the administrator accesses the inventory browser
  Then the system displays a list of tracked product variants with pagination
  And shows the available stock quantity for each variant on the first page",In order to see all tracked product variants As an Administrator I want to be able to browse tracked product variants,inventorypapa_free-dropshipping-automation-software\browsing_inventory_story_processado.txt,1,1,
product_review_validation_1_story_processado.txt,inventorypapa_free-dropshipping-automation-software,cenário 3,Add product review with both title and comment,"Scenario: Add product review with both title and comment
  Given the Administrator is managing product reviews
  And there is a product review with a title and a comment
  When the Administrator attempts to add the product review
  Then the system allows the addition of the review
  And displays a message confirming successful addition",In order to avoid making mistakes while submitting a new product review As a Visitor I want to be prevented from submitting invalid review,inventorypapa_free-dropshipping-automation-software\product_review_validation_1_story_processado.txt,1,1,
seeing_orders_statistics_on_customer_details_page_story_processado.txt,inventorypapa_free-dropshipping-automation-software,cenário 4,View customer order statistics with different fulfillment statuses,"Scenario: View customer order statistics with different fulfillment statuses
  Given there is a customer with orders having different fulfillment statuses
  When the administrator views the customer's details page
  Then the system displays order statistics segmented by fulfillment status
  And the total value of orders for each fulfillment status","In order to know how many orders a customer has placed, and what's their total value As an Administrator I want to be able to see orders statistics of customer on their details page",inventorypapa_free-dropshipping-automation-software\seeing_orders_statistics_on_customer_details_page_story_processado.txt,1,1,
sorting_payment_methods_by_position_story_processado.txt,inventorypapa_free-dropshipping-automation-software,cenário 3,Add new payment method to the end of the list,"Scenario: Add new payment method to the end of the list
  Given there are multiple payment methods with different positions
  When the administrator adds a new payment method with a higher position than existing ones
  Then the new payment method is displayed at the end of the list",In order to change the order by which payment methods are displayed As an Administrator I want to sort payment methods by their positions,inventorypapa_free-dropshipping-automation-software\sorting_payment_methods_by_position_story_processado.txt,1,1,
getExternalCallFilterBlackList_story_processado.txt,irontec_ivozprovider,cenário 4,Retrieve a non-existent external call filter blacklist by ID,"Scenario: Retrieve a non-existent external call filter blacklist by ID
  Given there is a client admin with a valid authentication token
  And there is no existing external call filter blacklist with ID ""456""
  When the client admin sends a GET request to retrieve the blacklist with ID ""456""
  Then the system returns an error response
  And the response status code is 404",In order to manage external call filter black lists As a client admin I need to be able to retrieve them through the API.,irontec_ivozprovider\getExternalCallFilterBlackList_story_processado.txt,1,1,
postHuntGroupMember_story_processado.txt,irontec_ivozprovider,cenário 4,Create a new hunt group member with invalid priority value,"Scenario: Create a new hunt group member with invalid priority value
  Given there is a hunt group with id ""123""
  And there is a user with id ""456""
  When the client admin sends a POST request to create a new hunt group member
  And sets the hunt group id to ""123""
  And sets the user id to ""456""
  And sets the priority to ""invalid""
  Then the system returns an error response
  And displays a message indicating that the priority is invalid",In order to manage hunt groups rel users As a client admin I need to be able to create them through the API.,irontec_ivozprovider\postHuntGroupMember_story_processado.txt,1,1,
removeDomains_2_story_processado.txt,irontec_ivozprovider,cenário 1,Attempt to delete a domain via API as super admin,"Scenario: Attempt to delete a domain via API as super admin
  Given there is a super admin with API access
  And there is an existing domain ""example.com""
  When the super admin sends a DELETE request to the domain ""example.com"" via API
  Then the system returns an HTTP 405 status code
  And the domain ""example.com"" remains unchanged",In order to manage domains as a super admin I should not be able to delete them through the API.,irontec_ivozprovider\removeDomains_2_story_processado.txt,1,1,
removeSpecialNumber_1_story_processado.txt,irontec_ivozprovider,cenário 4,Delete a special number with insufficient permissions,"Scenario: Delete a special number with insufficient permissions
  Given there is a user with insufficient permissions
  And there is a special number with ID ""123""
  When the user sends a DELETE request to the special number API with ID ""123""
  Then the system returns an HTTP 403 status code
  And displays a message indicating that the user lacks the necessary permissions",In order to manage special numbers as a super admin I need to be able to delete them through the API.,irontec_ivozprovider\removeSpecialNumber_1_story_processado.txt,1,1,
