repositorio,arquivo,US ,Descrição,Descrição em inglês
api-platform_core,absolute_url_story.txt,In order to add detail to IRIs Include the absolute url,"A API Platform Core é o componente de publicação de recursos que permite expor e gerenciar APIs REST e GraphQL usando formatos de hipermídia. O sistema deve garantir que todos os recursos publicados (coleções, itens e relações) utilizem IRIs com URLs absolutas, permitindo que cada objeto possa ser diretamente identificado, acessado e referenciado na web. Isso assegura que clientes possam navegar pelos links, recuperar dados completos e enviar informações usando URLs absolutas.","The API Platform Core is the resource publishing component that allows exposing and managing REST and GraphQL APIs using hypermedia formats. The system must ensure that all published resources (collections, items, and relations) use IRIs with absolute URLs, allowing each object to be directly identified, accessed, and referenced on the web. This ensures that clients can navigate through the links, retrieve complete data, and submit information using absolute URLs."
api-platform_core,collection_attributes_story.txt,In order to use the JSON API hypermedia format As a client software developer I need to be able to retrieve valid JSON API responses for collection attributes on entities.,"A API Platform Core é o componente de publicação de recursos que permite expor e gerenciar APIs REST e GraphQL usando formatos de hipermídia. O sistema deve fornecer respostas válidas no formato JSON API, serializando corretamente coleções e  relacionamentos entre entidades, mesmo em estruturas complexas como referências circulares.  Isso permite que o cliente navegue pelas relações, identifique recursos e consuma dados conforme o schema oficial do JSON API, assegurando interoperabilidade e validação adequada das respostas","The API Platform Core is the resource publishing component that allows exposing and managing REST and GraphQL APIs using hypermedia formats. The system must provide valid responses in the JSON API format, properly serializing collections and relationships between entities, even in complex structures such as circular references. This allows the client to navigate through relationships, identify resources, and consume data according to the official JSON API schema, ensuring interoperability and proper validation of responses."
api-platform_core,input_output_2_story.txt,In order to use the API As a client software developer I need to be able to use DTOs on my resources as Input or Output objects.,"A API Platform Core é o componente de publicação de recursos que permite expor e gerenciar APIs REST e GraphQL usando formatos de hipermídia. O sistema  deve suportar DTOs de entrada e saída no formato application/json, permitindo estruturas simplificadas fora do padrão estrito JSON:API. O sistema deve validar os cabeçalhos de conteúdo e processar fluxos específicos, como o reset de senha, garantindo o retorno de status 201 com o timestamp de envio para sucesso, ou status 404 no formato problem+json para usuários inexistentes, assegurando a conformidade exata com os contratos de interface definidos.","The API Platform Core is the resource publishing component that allows exposing and managing REST and GraphQL APIs using hypermedia formats. The system must support input and output DTOs in the application/json format, allowing for simplified structures outside the strict JSON:API standard. It must validate content headers and process specific workflows, such as password reset, ensuring it returns a 201 status with the dispatch timestamp for success, or a 404 status in the problem+json format for non-existent users. This guarantees exact compliance with the defined interface contracts."
api-platform_core,numeric_filter_story.txt,In order to retrieve ordered large collections of resources As a client software developer I need to retrieve collections with numerical value,"A API Platform Core é o componente de publicação de recursos que permite expor e gerenciar APIs REST e GraphQL usando formatos de hipermídia. O sistema deve permitir a filtragem de coleções por valores numéricos, suportando a passagem de parâmetros únicos, múltiplos (arrays) e conversores de propriedade na query string. O sistema deve fornecer respostas válidas no formato JSON-LD (application/ld+json), estruturadas conforme o vocabulário Hydra (incluindo hydra:view e templates de busca), e deve tratar inputs não numéricos de forma resiliente, mantendo o retorno de status 200 e a estrutura da coleção, assegurando a interoperabilidade e a validação correta dos metadados de paginação.","The API Platform Core is the resource publishing component that allows exposing and managing REST and GraphQL APIs using hypermedia formats. The system must allow the filtering of collections by numerical values, supporting the use of single parameters, multiple parameters (arrays), and property converters in the query string. The system must provide valid responses in the JSON-LD format (`application/ld+json`), structured according to the Hydra vocabulary (including `hydra:view` and search templates), and must handle non-numerical inputs resiliently, maintaining a 200 status return and the collection structure. This ensures interoperability and the correct validation of pagination metadata."
billabear_billabear,confirm_email_story.txt,In order to use the system with my personal configuration As a user I need to be able to confirm I gave a valid email during sign up,"O BillaBear é um sistema independente de gestão de assinaturas e faturamento integrado ao Stripe. Ele disponibiliza uma API REST que permite a administração de assinaturas, cobranças e configurações de usuários. O sistema envia um código de verificação no cadastro e valida o código informado pelo usuário, se estiver correto, a conta é confirmada; se estiver incorreto, permanece não confirmada.","BillaBear is a standalone subscription and billing management system integrated with Stripe. It provides a REST API that allows the administration of subscriptions, charges, and user settings. The system sends a verification code during registration and validates the code provided by the user, if it is correct, the account is confirmed, if it is incorrect, it remains unconfirmed."
billabear_billabear,create_product_1_story.txt,In order to bill for products As an APP user I need to be create a product,"O BillaBear é um sistema independente de gestão de assinaturas e faturamento integrado ao Stripe. Ele disponibiliza uma API REST que permite a administração de assinaturas, cobranças e configurações de usuários. O sistema deve permitir que usuários autenticados criem produtos informando nome e, opcionalmente, taxa ou tipo de taxa. Ele valida os dados, impede criações inválidas e exibe os tipos de taxa disponíveis.","BillaBear is a standalone subscription and billing management system integrated with Stripe. It provides a REST API that allows the administration of subscriptions, charges, and user settings. The system must allow authenticated users to create products by specifying a name and, optionally, a rate or rate type. It validates the data, prevents the creation of invalid entries, and displays the available rate types."
billabear_billabear,generate_for_payment_story.txt,In order to manage a payments As an APP user I need to be see all the payments,"O BillaBear é um sistema independente de gestão de assinaturas e faturamento integrado ao Stripe. Ele disponibiliza uma API REST que permite a administração de assinaturas, cobranças e configurações de usuários. O sistema deve permitir que usuários autenticados visualizem todos os pagamentos ligados às suas assinaturas, incluindo informações de clientes, produtos, preços e regras fiscais aplicadas. O sistema também deve gerar recibos corretos para pagamentos existentes, garantindo consistência dos dados retornados pela API.
","BillaBear is a standalone subscription and billing management system integrated with Stripe. It provides a REST API that allows the administration of subscriptions, charges, and user settings. The system must allow authenticated users to view all payments linked to their subscriptions, including customer, product, price, and applied tax rule information. The system must also correctly generate receipts for existing payments, ensuring the consistency of the data returned by the API."
billabear_billabear,limit_customer_story.txt,In order to manage a customer's subscriptions As an APP user I need to be see customer's Subscription,"O BillaBear é um sistema independente de gestão de assinaturas e faturamento integrado ao Stripe. Ele disponibiliza uma API REST que permite a administração de assinaturas, cobranças e configurações de usuários. O sistema deve permitir
que usuários autenticados consultem os limites de uso de um cliente com base nas assinaturas ativas, somando os limites de cada plano associado. O sistema retorna os limites por recurso e, caso o cliente esteja desativado, deve responder com uma lista de limites vazia.","BillaBear is a standalone subscription and billing management system integrated with Stripe. It provides a REST API that allows the administration of subscriptions, charges, and user settings. The system must allow authenticated users to query a customer's usage limits based on their active subscriptions, summing the limits from each associated plan. The system returns the limits per resource, and if the customer is deactivated, it must respond with an empty list of limits."
camptocamp_oerpscenario,account_bank_statement_story.txt,In order to test the invoicing process and modules I want to see if the basic bank statement features works,"O OERPScenario é uma ferramenta de testes funcionais para OpenERP/Odoo baseada em BDD. Ela garante a validação automatizada de processos críticos, como faturamento e reconciliação bancária. O sistema deve permitir que os cenários registrem faturas, criem e importem extratos bancários e confirmem reconciliações, verificando valores residuais e status após cada operação. Caso existam situações inválidas, como faturas já reconciliadas, o sistema deve impedir novas reconciliações e emitir alertas apropriados.","OERPScenario is a functional testing tool for OpenERP/Odoo based on BDD. It ensures the automated validation of critical processes, such as billing and bank reconciliation. The system must allow scenarios to register invoices, create and import bank statements, and confirm reconciliations, verifying residual amounts and status after each operation. If invalid situations exist, such as already reconciled invoices, the system must prevent new reconciliations and issue appropriate alerts."
camptocamp_oerpscenario,sale_story.txt,In order to test the sale process and modules As an administator I want to see if the sales features and workflow work well,"O OERPScenario é uma ferramenta de testes funcionais para OpenERP/Odoo baseada em BDD. Ela garante a validação automatizada de processos críticos, como faturamento e reconciliação bancária.O sistema deve permitir que usuários criem pedidos de venda usando DSL, registrem linhas de pedido, confirmem vendas, gerem faturas associadas e validem os lançamentos contábeis resultantes. Ele também verifica o tratamento correto de exceções, como o cancelamento e a reabertura de faturas, assegurando que o pedido de venda mantenha o estado esperado ao longo de todo o workflow.","OERPScenario is a functional testing tool for OpenERP/Odoo based on BDD. It ensures the automated validation of critical processes, such as billing and bank reconciliation. The system must allow users to create sales orders using DSL, register order lines, confirm sales, generate associated invoices, and validate the resulting accounting entries. It also verifies the correct handling of exceptions, such as the cancellation and reopening of invoices, ensuring that the sales order maintains the expected state throughout the entire workflow."
camptocamp_oerpscenario,samples_story.txt,In order to show you how to work with OERPScenario I want to illustrate the basics behaviors,"O OERPScenario é uma ferramenta de testes funcionais para OpenERP/Odoo baseada em BDD. Ela garante a validação automatizada de processos críticos, como faturamento e reconciliação bancária. O sistema deve permitir que usuários criem e atualizem parceiros, utilizem variáveis armazenadas entre cenários, apliquem helpers para localizar registros e validem faturas por meio de métodos internos. Esses cenários garantem que operações básicas como criação de recursos, atualização de dados e validação de documentos, funcionem corretamente, mantendo a consistência do comportamento esperado no Odoo.","OERPScenario is a functional testing tool for OpenERP/Odoo based on BDD. It ensures the automated validation of critical processes, such as billing and bank reconciliation. The system must allow users to create and update partners, use variables stored across scenarios, apply helpers to locate records, and validate invoices through internal methods. These scenarios ensure that basic operations, such as resource creation, data updates, and document validation, work correctly, maintaining the consistency of the expected behavior in Odoo."
camptocamp_oerpscenario,pay_invoice_story.txt,In order to test the pay invoice wizard I want to see if the wizard take care of complex cases,"O OERPScenario é uma ferramenta de testes funcionais para OpenERP/Odoo baseada em BDD. Ela garante a validação automatizada de processos críticos, como faturamento e reconciliação bancária. O sistema deve permitir registrar e validar faturas, executar pagamentos parciais e completos em diferentes moedas e recalcular corretamente o valor residual após cada operação. Também deve assegurar que, ao quitar totalmente a fatura, seu status seja atualizado para pago, mantendo a consistência dos cálculos.","OERPScenario is a functional testing tool for OpenERP/Odoo based on BDD. It ensures the automated validation of critical processes, such as billing and bank reconciliation. The system must allow registering and validating invoices, executing partial and full payments in different currencies, and correctly recalculating the residual amount after each operation. It must also ensure that when an invoice is fully settled, its status is updated to ""paid,"" maintaining the consistency of the calculations."
Cocolabs-SAS_cocorico,Breadcrumb_story.txt,As a user I want to check my breadcrumbs,"Cocorico é uma plataforma de código aberto para criar marketplaces colaborativos, ele utiliza Breadcrumbs como navegação que mostra ao usuário sua localização atual dentro da estrutura hierárquica do site. O sistema deve garantir que os breadcrumbs mostram consistentemente a posição atual do usuário. Caso o usuário clique em “Messages” no menu “offerer” deve ser mostrado ""Home > Offerer > Messages"".","Cocorico is an open-source platform for creating collaborative marketplaces. It uses Breadcrumbs as navigation to show users their current location within the site's hierarchical structure. The system must ensure that the breadcrumbs consistently display the user's current position. If a user clicks on ""Messages"" in the ""offerer"" menu, ""Home > Offerer > Messages"" should be shown."
Cocolabs-SAS_cocorico,ListingSearch_story.txt,As a user i want to find listing so that i can rent it,"Cocorico é uma plataforma de código aberto para criar marketplaces colaborativos. O sistema deve permitir que o usuário possa buscar listagens por localização, categoria, características, data e preço.","Cocorico is an open-source platform for creating collaborative marketplaces. The system must allow users to search for listings by location, category, features, date, and price."
Cocolabs-SAS_cocorico,Message_story.txt,"As a user i want to send, consult and reply to a message","Cocorico é uma plataforma de código aberto para criar marketplaces colaborativos.O sistema deve permitir que usuários como asker possam enviar mensagens para os usuários offerers, que possuem os itens da listagem, permitindo que possam conversar, negociar e fechar acordos.","Cocorico is an open-source platform for creating collaborative marketplaces. The system must allow users, such as askers, to send messages to offerer users, who own the listed items, enabling them to converse, negotiate, and close deals."
Cocolabs-SAS_cocorico,Review_story.txt,As a user i want to show and add rates and reviews,"Cocorico é uma plataforma de código aberto para criar marketplaces colaborativos. O sistema deve permitir que usuários como asker possam avaliar usuários offerers, e que usuários offerers possam avaliar asker.","Cocorico is an open-source platform for creating collaborative marketplaces. The system must allow users, such as askers, to review offerer users, and allow offerer users to review askers."
coreshop_CoreShop,country_condition_2_story.txt,In order to extend my catalog The catalog has a price-rule for a country I want to create a new product,"O CoreShop é um sistema de e-commerce eletrônico. O sistema deve permitir criar produtos associados a categorias e validar regras de preço baseadas em país. Quando uma regra ativa corresponde ao país configurado para o produto, ela deve ser considerada válida, quando o país diverge, a regra deve ser tratada como inválida. Assim, garante-se que somente ajustes de preço compatíveis com a localização definida sejam aplicados aos produtos do catálogo.","CoreShop is an e-commerce system. The system must allow creating products associated with categories and validating price rules based on country. When an active rule matches the country configured for the product, it should be considered valid; when the country differs, the rule should be treated as invalid. This ensures that only price adjustments compatible with the defined location are applied to products in the catalog."
coreshop_CoreShop,discount_percent_action_tax_100_and_free_shipping_and_gross_values_story.txt,"In order to give the customer discounts based on the cart, we add a new rule with a 100% discount and free shipping","O CoreShop é um sistema de e-commerce eletrônico. O sistema deve possibilitar a criação de regras ativas que ofereçam descontos percentuais e frete grátis, considerando preços brutos, impostos e transportadoras associadas. Ao aplicar um voucher válido com desconto de 100%, o carrinho deve recalcular corretamente os valores com e sem impostos, zerando o total e garantindo que tanto o desconto quanto o frete gratuito sejam refletidos nos resultados finais.","CoreShop is an e-commerce system. The system must enable the creation of active rules that offer percentage discounts and free shipping, considering gross prices, taxes, and associated carriers. When applying a valid voucher with a 100% discount, the cart must correctly recalculate the values with and without taxes, zeroing out the total and ensuring both the discount and free shipping are reflected in the final results."
coreshop_CoreShop,discount_percent_gross_action_story.txt,"In order to give the customer discounts based on the cart, we add a new rule","O CoreShop é um sistema de e-commerce eletrônico. O sistema deve funcionar com valores brutos, impostos e grupos de regras fiscais, garantindo que produtos adicionados ao carrinho tenham seus preços corretamente ajustados. Ao criar uma regra ativa do tipo voucher com código definido e aplicar um desconto percentual, o carrinho deve recalcular automaticamente o valor do item e o total final, refletindo o percentual aplicado e mantendo a consistência dos valores com impostos. Neste caso, um desconto de 10% sobre um produto de 100,00 deve reduzir o total para 90,00, assegurando que o mecanismo de regras e vouchers opere de forma correta e previsível.","CoreShop is an e-commerce system. The system must work with gross values, taxes, and tax rule groups, ensuring that products added to the cart have their prices correctly adjusted. When creating an active voucher-type rule with a defined code and applying a percentage discount, the cart must automatically recalculate the item value and final total, reflecting the applied percentage and maintaining the consistency of tax-inclusive values. In this case, a 10% discount on a product priced at 100.00 should reduce the total to 90.00, ensuring that the rule and voucher mechanism operates correctly and predictably."
coreshop_CoreShop,not_discountable_discount_amount_action_story.txt,"In order to give the customer discounts based on the cart, we add a new rule","O CoreShop é um sistema de e-commerce eletrônico.O sistema deve permitir a criação de regras de preço marcadas como “não descontáveis”, que bloqueiam qualquer abatimento aplicado posteriormente por vouchers ou outras promoções. Mesmo com um voucher ativo oferecendo desconto em valor fixo, o carrinho deve reconhecer que o produto está protegido por uma regra de não desconto, mantendo o preço final inalterado","CoreShop is an e-commerce system. The system must allow the creation of price rules marked as ""non-discountable,"" which block any subsequent reduction applied by vouchers or other promotions. Even with an active voucher offering a fixed-amount discount, the cart must recognize that the product is protected by a non-discount rule, keeping the final price unchanged."
cross-solution_YAWIK,apply_story.txt,In order to start working As a user I should be able to apply a job,YAWIK é uma solução web para gerenciamento de candidaturas a empregos onde recrutadores podem criar anúncios com formulários para candidatos se inscreverem nas vagas. O sistema deve permitir que o usuário cadastre suas informações pessoais para conseguir aplicar para um anúncio de vaga de emprego.,YAWIK is a web solution for managing job applications where recruiters can create job advertisements with forms for candidates to apply for positions. The system must allow users to register their personal information in order to apply for a job opening.
cross-solution_YAWIK,insert_story.txt,In order to post a job As an admin I should able to add new organization,YAWIK é uma solução web para gerenciamento de candidaturas a empregos onde recrutadores podem criar anúncios com formulários para candidatos se inscreverem nas vagas. O sistema deve permitir que um usuário admin possa criar uma organização.,YAWIK is a web solution for managing job applications where recruiters can create job advertisements with forms for candidates to apply for positions. The system must allow an admin user to create an organization.
cross-solution_YAWIK,login_story.txt,In order to apply job As a Visitor I want to be able to log in to Yawik,YAWIK é uma solução web para gerenciamento de candidaturas a empregos onde recrutadores podem criar anúncios com formulários para candidatos se inscreverem nas vagas. O usuário deve preencher um email e senha válidos para conseguir logar no sistema.,YAWIK is a web solution for managing job applications where recruiters can create job advertisements with forms for candidates to apply for positions. The user must enter a valid email and password to log in to the system.
cross-solution_YAWIK,update_2_story.txt,In order to post a job As a recruiter I should able to update my organization,"YAWIK é uma solução web para gerenciamento de candidaturas a empregos onde recrutadores podem criar anúncios com formulários para candidatos se inscreverem nas vagas. O sistema deve permitir que um usuário logado como recruiter possa atualizar dados da organização, como nome, localização e logo.","YAWIK is a web solution for managing job applications where recruiters can create job advertisements with forms for candidates to apply for positions. The system must allow a user logged in as a recruiter to update their organization's data, such as its name, location, and logo."
DataDog_datadog-api-client-typescript,dora_metrics_story.txt,"Search, send, or delete events for DORA Metrics to measure and improve your software delivery performance. See the [DORA Metrics page](https://docs.datadoghq.com/dora_metrics/) for more information. **Note**: DORA Metrics are not available in the US1-FED site.","A Datadog é uma plataforma de observabilidade e segurança para aplicações na nuvem, integrando e automatizando monitoramento de infraestrutura, monitoramento de desempenho de aplicações, gerenciamento de logs, monitoramento de experiência do usuário. O sistema deve permitir requests para as métricas de DevOps Research and Assessment (DORA), dado uma request com  uma appKeyAuth válida.","Datadog is an observability and security platform for cloud applications, integrating and automating infrastructure monitoring, application performance monitoring, log management, and user experience monitoring. The system must allow requests for DevOps Research and Assessment (DORA) metrics, given a request with a valid appKeyAuth."
DataDog_datadog-api-client-typescript,gcp_integration_1_story.txt,Configure your Datadog-Google Cloud Platform (GCP) integration directly through the Datadog API. Read more about the [Datadog-Google Cloud Platform integration](https://docs.datadoghq.com/integrations/google_cloud _platform).,"A Datadog é uma plataforma de observabilidade e segurança para aplicações na nuvem, integrando e automatizando monitoramento de infraestrutura, monitoramento de desempenho de aplicações, gerenciamento de logs, monitoramento de experiência do usuário. O sistema deve permitir a configuração da integração Datadog-GCP via API, focando na gestão de contas de serviço STS (Security Token Service), podendo criar, listar, atualizar e excluir essas contas, configurando atributos como filtros e opções de segurança (CSPM, Security Command Center). ","Datadog is an observability and security platform for cloud applications, integrating and automating infrastructure monitoring, application performance monitoring, log management, and user experience monitoring. The system must allow the configuration of the Datadog-GCP integration via API, focusing on the management of STS (Security Token Service) service accounts, enabling the creation, listing, updating, and deletion of these accounts, while configuring attributes such as filters and security options (CSPM, Security Command Center)."
DataDog_datadog-api-client-typescript,logs_custom_destinations_story.txt,Custom Destinations forward all the logs ingested to an external destination.  **Note**: Log forwarding is not available for the Government (US1-FED) site. Contact your account representative for more information. See the [Custom Destinations Page](https://app.datadoghq.com/logs/pipelines/log-forwarding/custom- destinations) for a list of the custom destinations currently configured in web UI.,"A Datadog é uma plataforma de observabilidade e segurança para aplicações na nuvem, integrando e automatizando monitoramento de infraestrutura, monitoramento de desempenho de aplicações, gerenciamento de logs, monitoramento de experiência do usuário. O sistema deve permitir criar, listar, obter, atualizar e excluir destinos, configurando tipos como HTTP, Microsoft Sentinel, Splunk HEC e Elasticsearch, com filtros por query e controle de tags.","Datadog is an observability and security platform for cloud applications, integrating and automating infrastructure monitoring, application performance monitoring, log management, and user experience monitoring. The system must allow creating, listing, retrieving, updating, and deleting destinations, configuring types such as HTTP, Microsoft Sentinel, Splunk HEC, and Elasticsearch, with query-based filters and tag control."
