arquivo,caminho_relativo,erro_parser,erro_lint,erros_parser_descricao,erros_lint_descricao,quantidade_problemas_lint,arquivo_parser,arquivo_lint
GSA_search-gov\odie_url_source_update_story_processado,GSA_search-gov,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Step name is too long. Length of 96 is longer than the maximum allowed: 70\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 9: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Step name is too long. Length of 98 is longer than the maximum allowed: 70\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Step name is too long. Length of 76 is longer than the maximum allowed: 70\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Step name is too long. Length of 96 is longer than the maximum allowed: 70\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Step name is too long. Length of 101 is longer than the maximum allowed: 70\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Step name is too long. Length of 86 is longer than the maximum allowed: 70\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 36: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Step name is too long. Length of 104 is longer than the maximum allowed: 70\nlinha 39: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 40: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 40: Step name is too long. Length of 73 is longer than the maximum allowed: 70\nlinha 41: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",38,GSA_search-gov\odie_url_source_update_story_processado.txt,GSA_search-gov\odie_url_source_update_story_processado_relatorio.txt
GSA_search-gov\search_elastic_story_processado,GSA_search-gov,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Step name is too long. Length of 71 is longer than the maximum allowed: 70\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Step name is too long. Length of 85 is longer than the maximum allowed: 70\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Step name is too long. Length of 77 is longer than the maximum allowed: 70\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Step name is too long. Length of 93 is longer than the maximum allowed: 70\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Step name is too long. Length of 83 is longer than the maximum allowed: 70\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",28,GSA_search-gov\search_elastic_story_processado.txt,GSA_search-gov\search_elastic_story_processado_relatorio.txt
IRPTeam_IRP\_00503TaxRatesCatalog_story_processado,IRPTeam_IRP,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Step name is too long. Length of 74 is longer than the maximum allowed: 70\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Step name is too long. Length of 86 is longer than the maximum allowed: 70\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 9: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Step name is too long. Length of 74 is longer than the maximum allowed: 70\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Step name is too long. Length of 74 is longer than the maximum allowed: 70\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Step name is too long. Length of 75 is longer than the maximum allowed: 70\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Step name is too long. Length of 71 is longer than the maximum allowed: 70\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 36: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Step name is too long. Length of 77 is longer than the maximum allowed: 70",33,IRPTeam_IRP\_00503TaxRatesCatalog_story_processado.txt,IRPTeam_IRP\_00503TaxRatesCatalog_story_processado_relatorio.txt
IRPTeam_IRP\_00505CurrencyMovementType_story_processado,IRPTeam_IRP,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Step name is too long. Length of 79 is longer than the maximum allowed: 70\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Step name is too long. Length of 88 is longer than the maximum allowed: 70\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 9: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 10: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Step name is too long. Length of 77 is longer than the maximum allowed: 70\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Step name is too long. Length of 88 is longer than the maximum allowed: 70\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Step name is too long. Length of 72 is longer than the maximum allowed: 70\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Step name is too long. Length of 100 is longer than the maximum allowed: 70\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Step name is too long. Length of 77 is longer than the maximum allowed: 70\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Step name is too long. Length of 86 is longer than the maximum allowed: 70\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Step name is too long. Length of 77 is longer than the maximum allowed: 70\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Step name is too long. Length of 86 is longer than the maximum allowed: 70\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Step name is too long. Length of 72 is longer than the maximum allowed: 70\nlinha 39: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 39: Step name is too long. Length of 92 is longer than the maximum allowed: 70\nlinha 40: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 41: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 41: Step name is too long. Length of 83 is longer than the maximum allowed: 70",43,IRPTeam_IRP\_00505CurrencyMovementType_story_processado.txt,IRPTeam_IRP\_00505CurrencyMovementType_story_processado_relatorio.txt
IRPTeam_IRP\_00509PaymentTermsCatalog_story_processado,IRPTeam_IRP,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Step name is too long. Length of 98 is longer than the maximum allowed: 70\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Step name is too long. Length of 74 is longer than the maximum allowed: 70\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 36: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",29,IRPTeam_IRP\_00509PaymentTermsCatalog_story_processado.txt,IRPTeam_IRP\_00509PaymentTermsCatalog_story_processado_relatorio.txt
IRPTeam_IRP\_0296Unbundling_story_processado,IRPTeam_IRP,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Step name is too long. Length of 71 is longer than the maximum allowed: 70\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Step name is too long. Length of 95 is longer than the maximum allowed: 70\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Step name is too long. Length of 86 is longer than the maximum allowed: 70\nlinha 16: Scenario name is too long. Length of 74 is longer than the maximum allowed: 70\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Step name is too long. Length of 89 is longer than the maximum allowed: 70\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Step name is too long. Length of 71 is longer than the maximum allowed: 70\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Step name is too long. Length of 105 is longer than the maximum allowed: 70\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Step name is too long. Length of 72 is longer than the maximum allowed: 70\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Step name is too long. Length of 108 is longer than the maximum allowed: 70\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Step name is too long. Length of 112 is longer than the maximum allowed: 70\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Step name is too long. Length of 99 is longer than the maximum allowed: 70\nlinha 35: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",35,IRPTeam_IRP\_0296Unbundling_story_processado.txt,IRPTeam_IRP\_0296Unbundling_story_processado_relatorio.txt
MetaMask_metamask-mobile\ColdStartToOnboardingScreenIOS_story_processado,MetaMask_metamask-mobile,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 10: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",21,MetaMask_metamask-mobile\ColdStartToOnboardingScreenIOS_story_processado.txt,MetaMask_metamask-mobile\ColdStartToOnboardingScreenIOS_story_processado_relatorio.txt
MetaMask_metamask-mobile\NetworkFlow_story_processado,MetaMask_metamask-mobile,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Step name is too long. Length of 119 is longer than the maximum allowed: 70\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Step name is too long. Length of 105 is longer than the maximum allowed: 70\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Step name is too long. Length of 119 is longer than the maximum allowed: 70\nlinha 36: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",29,MetaMask_metamask-mobile\NetworkFlow_story_processado.txt,MetaMask_metamask-mobile\NetworkFlow_story_processado_relatorio.txt
MetaMask_metamask-mobile\RequestTokenFlow_story_processado,MetaMask_metamask-mobile,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 10: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Step name is too long. Length of 75 is longer than the maximum allowed: 70\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",21,MetaMask_metamask-mobile\RequestTokenFlow_story_processado.txt,MetaMask_metamask-mobile\RequestTokenFlow_story_processado_relatorio.txt
MetaMask_metamask-mobile\SendEthGasApiDown_story_processado,MetaMask_metamask-mobile,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 9: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Step name is too long. Length of 73 is longer than the maximum allowed: 70\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Step name is too long. Length of 80 is longer than the maximum allowed: 70\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 39: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 40: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 41: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 42: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",33,MetaMask_metamask-mobile\SendEthGasApiDown_story_processado.txt,MetaMask_metamask-mobile\SendEthGasApiDown_story_processado_relatorio.txt
SFDigitalServices_sf-dahlia-web\custom_educator_listing_1_story_processado,SFDigitalServices_sf-dahlia-web,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Step name is too long. Length of 103 is longer than the maximum allowed: 70\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 9: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Step name is too long. Length of 102 is longer than the maximum allowed: 70\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Step name is too long. Length of 103 is longer than the maximum allowed: 70\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Step name is too long. Length of 103 is longer than the maximum allowed: 70\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 39: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 40: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 41: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 42: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",35,SFDigitalServices_sf-dahlia-web\custom_educator_listing_1_story_processado.txt,SFDigitalServices_sf-dahlia-web\custom_educator_listing_1_story_processado_relatorio.txt
