name,url,description,stars,forks,watchers,language,created_at,updated_at,pushed_at,archived,topics,feature_file_url,feature_file_path,score,size,open_issues
inukshuk/citeproc,https://github.com/inukshuk/citeproc,A CSL Cite Processor API,20,10,20.0,Gherkin,2011-08-02T19:52:40Z,2025-01-18T13:07:52Z,2025-01-18T13:07:58Z,FALSE,[],https://github.com/inukshuk/citeproc/blob/121fa4a950b9bd71960e42d20db96bcea1165201/features/name/Institution.feature,features/name/Institution.feature,1.0,755.0,1.0
ministryofjustice/laa-apply-for-legal-aid,https://github.com/ministryofjustice/laa-apply-for-legal-aid,"The laa-apply-for-legal-aid system is a web service by use for solicitors providing legal aid services to enter applications for legal aid on-line.  It asks for details of applicant means (income and assets), and the merits of a case, and gives a decision on whether legal aid can be granted or not, and if so, will push the application through to back-end processes for payment.",19,8,19.0,Ruby,2018-08-07T20:34:48Z,2025-08-19T13:58:05Z,2025-08-19T16:23:30Z,FALSE,"['laa-apply', 'laa-get-legal-aid']",https://github.com/ministryofjustice/laa-apply-for-legal-aid/blob/f38dfe87ddabb86673ab881912e2523232e7c0ec/features/providers/change_email.feature,features/providers/change_email.feature,1.0,65095.0,20.0
FongX777/hotel-booking-ddd,https://github.com/FongX777/hotel-booking-ddd,hotel booking app using ddd and clean architeucture to implement,18,6,18.0,TypeScript,2019-07-10T03:24:52Z,2025-01-20T21:05:33Z,2021-03-16T06:24:17Z,FALSE,"['clean-architecture', 'event-storming', 'hotel-booking', 'miro', 'typescript', 'user-story']",https://github.com/FongX777/hotel-booking-ddd/blob/b39d5d20e050164f6511f33454a7417f44ebdced/src/features/admin-site/room/room-type-list-view.feature,src/features/admin-site/room/room-type-list-view.feature,1.0,820.0,20.0
crigor/bayaninhand,https://github.com/crigor/bayaninhand,,17,16,17.0,Ruby,2011-09-08T13:45:20Z,2017-10-24T08:07:46Z,2022-10-19T10:33:52Z,FALSE,[],https://github.com/crigor/bayaninhand/blob/ccca5393d9d3464e2d86232ebf0ff37249145b75/features/event.feature,features/event.feature,1.0,820.0,12.0
Noksa/Allure.NUnit,https://github.com/Noksa/Allure.NUnit,C# NUnit Allure with improvements and SpecFlow3 adapter,17,6,,C#,,,,,"['adapter', 'allure', 'allure-csharp', 'allure-nunit', 'allure-report', 'allure2', 'automated-testing', 'automation', 'csharp', 'cucumber', 'nunit', 'report', 'reporting', 'reporting-tool', 'specflow']",,,,,
sncf-connect-tech/architecture-hexagonale-cqrs,https://github.com/sncf-connect-tech/architecture-hexagonale-cqrs,API REST avec architecture hexagonale et CQRS,17,9,,Java,,,,,"['architecture-hexagonale', 'axon-framework', 'cqrs', 'cucumber', 'ddd', 'event-sourcing', 'java', 'rest-api', 'spring-boot', 'travis-ci']",,,,,
gftf2011/clean-node-file-uploader-api-js,https://github.com/gftf2011/clean-node-file-uploader-api-js,"NodeJS server that exposes a file upload API, built with TDD and DDD along with Clean Architecture.",17,2,,JavaScript,,,,,"['bdd', 'clean-architecture', 'clean-code', 'cucumber', 'ddd', 'design-patterns', 'docker', 'docker-compose', 'dockerfile', 'husky', 'javascript', 'jest', 'lint-staged', 'nodejs', 'postgresql', 'solid', 'tdd']",,,,,
open-marketplace/open-marketplace,https://github.com/open-marketplace/open-marketplace,Open-source multi-vendor marketplace platform based on Sylius and Symfony,17,66,17.0,PHP,2024-06-13T17:28:31Z,2025-07-28T18:12:26Z,2024-07-15T08:10:10Z,FALSE,[],https://github.com/open-marketplace/open-marketplace/blob/599afe3184cb6f76dd6d31002ee3577c823c6bd0/features/admin/payment_viewing.feature,features/admin/payment_viewing.feature,1.0,82628.0,3.0
columbia/appflow,https://github.com/columbia/appflow,,17,8,17.0,Python,2018-07-02T03:17:12Z,2024-05-12T07:53:13Z,2018-07-02T03:17:38Z,FALSE,[],https://github.com/columbia/appflow/blob/8a0760638ec74cebd6c9e65a8e48bf930293d62e/custom-shopping/jane.feature,custom-shopping/jane.feature,1.0,224.0,2.0
armandofox/audience1st,https://github.com/armandofox/audience1st,"A zero-installation, zero-maintenance, open-source, all-in-one system for ticketing, subscriptions, development, and backoffice functions, designed expressly for the needs, budgets and constraints of small to medium community theaters.",17,22,17.0,Ruby,2011-09-06T18:57:25Z,2025-07-22T17:47:45Z,2025-07-22T17:47:41Z,FALSE,[],https://github.com/armandofox/audience1st/blob/bffd6198117f921abdc0fd4dc3c341ac155b0466/features/store/retail_purchase.feature,features/store/retail_purchase.feature,1.0,42747.0,45.0
bcgov/platform-services-registry,https://github.com/bcgov/platform-services-registry,Platform services OCP project registry,17,14,17.0,TypeScript,2020-04-21T19:53:57Z,2025-08-19T05:27:14Z,2025-08-19T15:47:23Z,FALSE,['citz'],https://github.com/bcgov/platform-services-registry/blob/17f81c63a6041f45dec906737efd0fef3e5c8e9a/cypress/integration/5.%20approve-requests-public.feature,cypress/integration/5. approve-requests-public.feature,1.0,58586.0,43.0
99x/CodeSpecJS,https://github.com/99x/CodeSpecJS,UI Automation Testing without writing a single line of code,16,9,,TypeScript,,,,,"['cucumber', 'hacktoberfest', 'javascript', 'protractor', 'test', 'test-automation']",,,,,
cabbage-ex/gherkin,https://github.com/cabbage-ex/gherkin,A Gherkin file parser written in Elixir. Extracted from https://github.com/meadsteve/white-bread.,16,9,,Elixir,,,,,"['cucumber', 'elixir', 'gherkin', 'parse']",,,,,
allure-examples/cucumberjvm-junit4-maven,https://github.com/allure-examples/cucumberjvm-junit4-maven,"Example of Allure Report usage with Cucumber-JVM, JUnit 4 and Maven",16,20,,Java,,,,,"['allure', 'allure-report', 'cucumber', 'example', 'java', 'junit4', 'maven']",,,,,
fga-eps-mds/2016.2-SAS_FGA,https://github.com/fga-eps-mds/2016.2-SAS_FGA,,16,13,16.0,JavaScript,2016-08-13T13:13:18Z,2022-08-17T02:20:01Z,2018-10-31T00:03:01Z,FALSE,[],https://github.com/fga-eps-mds/2016.2-SAS_FGA/blob/8b7c52c14ba41474233a85cc3a49db8f6d587fa0/sas/booking/features/new_booking.feature,sas/booking/features/new_booking.feature,1.0,124666.0,2.0
extrawest/BDD-Charge-Point-Tester-via-OCPP-J-,https://github.com/extrawest/BDD-Charge-Point-Tester-via-OCPP-J-,OCPP Charge Point Tester on Cucumber is a software tool that is designed to simulate Central System in the Open Charge Point Protocol (OCPP) 1.6 specification using the Cucumber testing framework.,16,8,,Java,,,,,"['bdd', 'cucumber', 'cucumber-framework', 'java', 'ocpp', 'ocpp-j', 'ocpp-j-simulator', 'ocpp16', 'ocpp16j', 'spring-boot']",,,,,
machzqcq/page-object_framework,https://github.com/machzqcq/page-object_framework,page-object pattern ruby,16,24,16.0,Ruby,2014-12-23T21:01:03Z,2021-12-03T14:01:49Z,2021-11-08T02:39:49Z,FALSE,"['cucumber', 'page-object', 'pageobject-pattern', 'ruby']",https://github.com/machzqcq/page-object_framework/blob/bbe1ba1aca261a8fe7e5635de349055a706dbfb5/features/PaymentMethod.feature,features/PaymentMethod.feature,1.0,1280.0,0.0
ajspadial-science/canciella,https://github.com/ajspadial-science/canciella,A free software alternative to EZProxy,14,5,14.0,Cucumber,2016-07-15T09:06:32Z,2025-02-17T07:19:25Z,2017-01-25T14:23:34Z,FALSE,[],https://github.com/ajspadial-science/canciella/blob/77b1d2548583fdf3835a48175d662c1856072d58/features/krtklrfsnbtxnlj.feature,features/krtklrfsnbtxnlj.feature,1.0,85.0,0.0
mahajanvv/EHRUsingBlockchain,https://github.com/mahajanvv/EHRUsingBlockchain,Electronic Health Records managing using hyperledger fabric composer,13,8,13.0,TypeScript,2019-02-20T14:34:57Z,2024-07-04T06:23:15Z,2023-01-07T03:45:28Z,FALSE,[],https://github.com/mahajanvv/EHRUsingBlockchain/blob/7b32ec8e5be9b7495e5c5d7399dfee3fae02d008/healthcare/features/sample.feature,healthcare/features/sample.feature,1.0,4171.0,35.0
DeLaphante/CynkyAutomation,https://github.com/DeLaphante/CynkyAutomation,"Powered by Selenium and Reqnroll with detailed HTML reporting, Automatic Element Waiting & Logging capabilities - CynkyAutomation framework can handle any website that is built using AJAX, React, AngularJS, Vue.js, Single Page Applications, Salesforce, Dynamics 365 CRM and many more.",13,1,13.0,C#,2023-02-02T16:46:43Z,2025-08-15T09:51:41Z,2025-08-15T09:51:37Z,FALSE,"['api-testing-framework', 'apitesting', 'automation', 'automation-framework', 'bdd', 'bdd-framework', 'c-sharp', 'csharp', 'httpclient', 'qa', 'qaautomation', 'qatools', 'rest-api-test', 'sdet', 'selenium', 'specflow', 'test-automation', 'test-framework', 'testautomationframework', 'webdriver']",https://github.com/DeLaphante/CynkyAutomation/blob/a753cb6322d86d3c96d31d54a0e69d3b7987ecae/CynkyAutomation/Features/API/Booking_API.feature,CynkyAutomation/Features/API/Booking_API.feature,1.0,3022.0,0.0
kss7/Pytest-Automation,https://github.com/kss7/Pytest-Automation,,13,21,13.0,Python,2021-02-06T15:27:29Z,2025-08-18T19:58:52Z,2022-06-13T09:25:06Z,FALSE,[],https://github.com/kss7/Pytest-Automation/blob/59fdbf5554295e6173372f660eea94793e53eab4/Pytest_topics/bddpytest/myfeatures/first101.feature,Pytest_topics/bddpytest/myfeatures/first101.feature,1.0,105.0,0.0
folio-org/folio-integration-tests,https://github.com/folio-org/folio-integration-tests,"The set of integration tests, based on karate framework",12,7,12.0,mIRC Script,2020-04-30T07:41:08Z,2025-08-19T15:11:33Z,2025-08-19T15:42:10Z,FALSE,[],https://github.com/folio-org/folio-integration-tests/blob/d93262fe39e7bba1a5ae592baf82efa9364f1fbc/acquisitions/src/main/resources/thunderjet/mod-finance/init-finance.feature,acquisitions/src/main/resources/thunderjet/mod-finance/init-finance.feature,1.0,34902.0,5.0
Hypercubed/cypress-gherkin,https://github.com/Hypercubed/cypress-gherkin,Enable a Gherkin-like syntax for tests in Cypress.io.,12,0,12.0,TypeScript,2020-08-09T00:58:39Z,2025-01-25T08:45:01Z,2023-05-28T10:41:34Z,FALSE,[],https://github.com/Hypercubed/cypress-gherkin/blob/ffc10d57d4273fd99ef2d6ad29a6d829cd70b026/cypress/fixtures/asterisk.feature,cypress/fixtures/asterisk.feature,1.0,686.0,13.0
DFE-Digital/schools-experience,https://github.com/DFE-Digital/schools-experience,The Department for Education's Get Schools Experience Service which allows you to find out more about teaching by visiting schools.,11,4,11.0,Ruby,2018-12-21T13:15:57Z,2025-08-19T11:00:21Z,2025-08-19T11:13:07Z,FALSE,['schools-experience'],https://github.com/DFE-Digital/schools-experience/blob/a89817b20a5c198464a57b24a0dbc7744b07275f/features/candidates/registrations/education.feature,features/candidates/registrations/education.feature,1.0,16524.0,26.0
4shen/webshell,https://github.com/4shen/webshell,,10,4,10.0,,2020-11-08T13:48:52Z,2023-11-08T14:31:20Z,2020-11-15T11:28:37Z,FALSE,[],https://github.com/4shen/webshell/blob/5aa1fc5cfe6d51129a93ce5be194619de99cd96f/dataset/benign/Sylius/Sylius-master/features/user/managing_customer_groups/deleting_multiple_customer_groups.feature,dataset/benign/Sylius/Sylius-master/features/user/managing_customer_groups/deleting_multiple_customer_groups.feature,1.0,1237180.0,0.0
BitModern/testQualityCli,https://github.com/BitModern/testQualityCli,,9,3,9.0,TypeScript,2019-08-06T01:19:25Z,2025-07-07T16:32:17Z,2025-07-07T16:33:38Z,FALSE,[],https://github.com/BitModern/testQualityCli/blob/71f6d836095bf2e993ca781e77550fc4caf946d7/samples/featureFiles/background_table.feature,samples/featureFiles/background_table.feature,1.0,1786.0,7.0
ministryofjustice/opg-lpa,https://github.com/ministryofjustice/opg-lpa,The Office of the Public Guardian Lasting Power of Attorney online service: Managed by opg-org-infra & Terraform,9,7,9.0,PHP,2019-07-05T15:37:34Z,2025-08-19T14:12:46Z,2025-08-19T14:15:46Z,FALSE,[],https://github.com/ministryofjustice/opg-lpa/blob/9d88160b72f237db7ef3931466a0fb1b00310299/cypress/e2e/SummaryPF.feature,cypress/e2e/SummaryPF.feature,1.0,142036.0,10.0
agiletoolkit/mano_browercms,https://github.com/agiletoolkit/mano_browercms,,9,2,9.0,Ruby,2009-05-06T03:17:38Z,2019-08-13T14:24:12Z,2010-08-11T21:23:49Z,FALSE,[],https://github.com/agiletoolkit/mano_browercms/blob/4a24164bc4e74a76574522460e16939e70580c08/features/confirm_payment.feature,features/confirm_payment.feature,1.0,10783.0,0.0
IHE/publications,https://github.com/IHE/publications,All domains publications.,9,5,9.0,HTML,2020-06-01T15:57:28Z,2025-08-08T21:17:58Z,2025-08-15T19:05:43Z,FALSE,['ihe-publishing'],https://github.com/IHE/publications/blob/3245e2b62b61f757b6a889279806409ab1f83fa9/ITI/FAIS/ITI-YY2.feature,ITI/FAIS/ITI-YY2.feature,1.0,2462514.0,30.0
cul-it/blacklight-cornell,https://github.com/cul-it/blacklight-cornell,,9,8,9.0,Ruby,2014-10-07T15:11:35Z,2025-08-19T14:25:53Z,2025-08-19T14:30:26Z,FALSE,[],https://github.com/cul-it/blacklight-cornell/blob/f8a642149105396c4cdb0aa845d435c907c7dd96/blacklight-cornell/features/catalog_search/item_view.feature,blacklight-cornell/features/catalog_search/item_view.feature,1.0,141623.0,12.0
boersmamarcel/challengesplatform,https://github.com/boersmamarcel/challengesplatform,Challenges platform,9,2,9.0,Ruby,2013-03-26T17:05:13Z,2023-10-25T12:14:29Z,2015-01-29T20:09:42Z,FALSE,[],https://github.com/boersmamarcel/challengesplatform/blob/5e15b6e1fd308a20d43bd3aa8f9f27325b0bafed/features/dashboard_participant.feature,features/dashboard_participant.feature,1.0,20531.0,29.0
danbuckland/crudecumber,https://github.com/danbuckland/crudecumber,A manual Cucumber runner RubyGem,8,3,8.0,Gherkin,2015-06-15T15:43:09Z,2020-04-23T12:32:31Z,2017-08-25T15:19:12Z,FALSE,[],https://github.com/danbuckland/crudecumber/blob/bb0c2c204389535f75a2f3534319f988bd8cdbde/ruby-gem/features/handling_tables.feature,ruby-gem/features/handling_tables.feature,1.0,281.0,3.0
TalaoDAO/marketplace,https://github.com/TalaoDAO/marketplace,Talao Marketplace (formerly eMindHub),8,2,8.0,PHP,2018-03-01T19:50:15Z,2021-08-22T21:17:27Z,2018-04-24T12:25:43Z,FALSE,[],https://github.com/TalaoDAO/marketplace/blob/88ba460452ca3b362a91c29c35ac16d06e791e7a/bdd/features/login.feature,bdd/features/login.feature,1.0,73794.0,1.0
coletivoEITA/noosfero-ecosol,https://github.com/coletivoEITA/noosfero-ecosol,A Noosfero mod for Solidarity Economy. Development base of deployed instances. See https://github.com/coletivoEITA/noosfero for contributions to noosfero,8,9,8.0,JavaScript,2012-04-03T21:30:34Z,2021-09-14T16:40:30Z,2017-08-12T19:50:35Z,FALSE,[],https://github.com/coletivoEITA/noosfero-ecosol/blob/9dc3e90ea7ec52a1c40bc0abef3f952b27ceb9dd/features/comment.feature,features/comment.feature,1.0,120684.0,0.0
daniel-cloudspace/feature-girl,https://github.com/daniel-cloudspace/feature-girl,Tool to give clients the ability to manage the development of their application through modifying Cucumber scenario features and tags,8,1,8.0,Ruby,2011-02-10T22:27:44Z,2015-04-13T02:38:46Z,2011-03-12T19:50:08Z,FALSE,[],https://github.com/daniel-cloudspace/feature-girl/blob/8d35ecb49d84ab1cf4110ad16282e41cca8ca7bb/sample/punk-grok/layout.feature,sample/punk-grok/layout.feature,1.0,4707.0,0.0
SkillsFundingAgency/das-apim-endpoints,https://github.com/SkillsFundingAgency/das-apim-endpoints,,8,3,8.0,C#,2020-06-08T08:05:42Z,2025-08-19T11:01:55Z,2025-08-19T15:32:50Z,FALSE,[],https://github.com/SkillsFundingAgency/das-apim-endpoints/blob/1dceebdacbd0e0cda3dad2e1e524c5c2f93ff908/src/EmployerIncentives/SFA.DAS.EmployerIncentives.Api.AcceptanceTests/Features/GetAndAddEmployerVendorIdForLegalEntity.feature,src/EmployerIncentives/SFA.DAS.EmployerIncentives.Api.AcceptanceTests/Features/GetAndAddEmployerVendorIdForLegalEntity.feature,1.0,21358.0,32.0
ideacrew/enroll,https://github.com/ideacrew/enroll,"An ACA-compliant enrollment system for individual and SHOP markets, built on Ruby on Rails, with a Mongo database",8,10,8.0,Ruby,2020-06-25T13:59:52Z,2025-08-19T16:22:55Z,2025-08-19T16:29:08Z,FALSE,[],https://github.com/ideacrew/enroll/blob/3b880c5b6651abfabf35ed9cfab3d6daab2abd5c/features/financial_assistance/health_coverage.feature,features/financial_assistance/health_coverage.feature,1.0,254361.0,17.0
bhrrc/modernslaveryregistry.org,https://github.com/bhrrc/modernslaveryregistry.org,Modern Slavery Registry Website,8,6,8.0,Ruby,2016-11-19T21:14:32Z,2022-01-22T11:35:18Z,2023-03-08T19:49:44Z,FALSE,[],https://github.com/bhrrc/modernslaveryregistry.org/blob/45567d01877e27e8ae88d6db61eba68af40c1357/features/search_statements.feature,features/search_statements.feature,1.0,18369.0,8.0
jasondentler/ISIS,https://github.com/jasondentler/ISIS,Integrated Student Information System,8,2,8.0,JavaScript,2011-02-11T13:28:53Z,2013-10-03T12:59:04Z,2011-04-06T15:15:28Z,FALSE,[],https://github.com/jasondentler/ISIS/blob/c14dd2c9435b08b7000a561694b1f73602713903/src/ISIS.Specs/Schedule/CESections.feature,src/ISIS.Specs/Schedule/CESections.feature,1.0,48100.0,0.0
Crown-Commercial-Service/crown-marketplace,https://github.com/Crown-Commercial-Service/crown-marketplace,A new digital service for public sector organisations to buy value for money goods and services in an efficient way,7,4,7.0,Ruby,2018-10-03T10:30:32Z,2025-08-18T13:49:41Z,2025-08-19T07:27:44Z,FALSE,[],https://github.com/Crown-Commercial-Service/crown-marketplace/blob/31a7ad9983f2b0d1a8c92eb70c879da006d4f8f5/features/facilities_management/rm6232/quick_view/lot_selection.feature,features/facilities_management/rm6232/quick_view/lot_selection.feature,1.0,137110.0,1.0
LoversOfBehat/TableExtension,https://github.com/LoversOfBehat/TableExtension,Behat extension for inspecting HTML tables,7,5,7.0,PHP,2018-04-12T13:53:48Z,2024-07-09T11:10:38Z,2024-07-09T12:52:51Z,FALSE,[],https://github.com/LoversOfBehat/TableExtension/blob/bfcd56aa6dba53cce5123cb76c21ec9537510d52/features/tables.feature,features/tables.feature,1.0,80.0,2.0
boczeratul/Christopher,https://github.com/boczeratul/Christopher,automatic booking script for RAW,7,4,7.0,JavaScript,2015-03-24T06:01:20Z,2020-11-11T03:21:42Z,2016-07-04T03:57:02Z,FALSE,[],https://github.com/boczeratul/Christopher/blob/0ccf9bce7c2392c9f087bf1e2d06eb3276dfc738/features/booking.feature,features/booking.feature,1.0,22.0,0.0
joemetric/survey-app,https://github.com/joemetric/survey-app,Survey creation and response applications,7,1,7.0,Ruby,2009-06-08T02:53:24Z,2014-01-14T13:00:16Z,2010-04-09T04:28:07Z,FALSE,[],https://github.com/joemetric/survey-app/blob/a66c1572a6760fdac9f023db853673b9c7e75816/features/payments.feature,features/payments.feature,1.0,9956.0,17.0
SU-SWS/linky_clicky,https://github.com/SU-SWS/linky_clicky,Behat tests mean death to linky-clicky,6,3,6.0,Gherkin,2014-07-22T18:43:33Z,2023-12-21T11:50:46Z,2023-04-19T18:37:34Z,FALSE,['behat'],https://github.com/SU-SWS/linky_clicky/blob/d6115dfc2b5a99ca53b09051721d48e53238da2f/sites/vpge/features/content.feature,sites/vpge/features/content.feature,1.0,6237.0,10.0
guidance-guarantee-programme/pension_guidance,https://github.com/guidance-guarantee-programme/pension_guidance,Pension guidance from Pension Wise.,6,9,6.0,HTML,2014-11-12T10:16:42Z,2025-07-21T13:10:49Z,2025-08-14T00:10:34Z,FALSE,"['pension', 'ruby']",https://github.com/guidance-guarantee-programme/pension_guidance/blob/af425a793333a9d1fb64cc50142bf6269e8e387e/features/telephone_booking_request.feature,features/telephone_booking_request.feature,1.0,34278.0,4.0
SkillsFundingAgency/das-paymentsacceptancetesting,https://github.com/SkillsFundingAgency/das-paymentsacceptancetesting,,6,9,6.0,Gherkin,2016-09-14T09:42:29Z,2023-12-19T17:39:22Z,2022-06-22T16:57:03Z,FALSE,[],https://github.com/SkillsFundingAgency/das-paymentsacceptancetesting/blob/03b6b6f68e407044d12b997f753cb906c759a610/features/payments_calc.feature,features/payments_calc.feature,1.0,6500.0,3.0
asm-products/lancrapp,https://github.com/asm-products/lancrapp,Modern Freelance Marketplace in Rails,6,3,6.0,Ruby,2014-08-30T14:51:43Z,2024-04-22T12:34:40Z,2014-10-22T14:08:05Z,FALSE,[],https://github.com/asm-products/lancrapp/blob/d2ce50da346279eb001db2cfc18c35061c5d62f2/features/conversations/booking_transaction_process.feature,features/conversations/booking_transaction_process.feature,1.0,59356.0,0.0
capcodigital/tech-radar,https://github.com/capcodigital/tech-radar,A visual guide to provide a view of the current technology coverage of Capco Digital Engineering,6,9,6.0,TypeScript,2021-03-18T10:26:14Z,2025-01-18T23:54:26Z,2025-06-28T13:44:36Z,FALSE,"['react', 'typescript']",https://github.com/capcodigital/tech-radar/blob/d29414010193cff81334bdf5da8e9071d0194cfb/features/databases/mongoDb.feature,features/databases/mongoDb.feature,1.0,53437.0,19.0
TheMightyLlama/GherkinFeatureSets,https://github.com/TheMightyLlama/GherkinFeatureSets,Sets of Gherkin features and step definitions written for fictitious applications,6,1,6.0,Java,2016-09-12T16:05:45Z,2024-07-11T23:05:39Z,2017-03-16T11:47:09Z,FALSE,[],https://github.com/TheMightyLlama/GherkinFeatureSets/blob/ab9d3fc2fb830960ab46898eb68222fd10bcaf8c/BankApp/App%20Account/Registration/Registration-OnlineAccount.feature,BankApp/App Account/Registration/Registration-OnlineAccount.feature,1.0,171.0,13.0
csinitiative/trisano,https://github.com/csinitiative/trisano,TriSano®,6,8,6.0,JavaScript,2009-03-27T15:27:50Z,2021-04-12T18:26:41Z,2013-05-25T01:07:34Z,FALSE,[],https://github.com/csinitiative/trisano/blob/7388ab873ef82cdbe2b46d852d5448696d2acb46/webapp/features/standard/web_api_aes_client.feature,webapp/features/standard/web_api_aes_client.feature,1.0,526246.0,0.0
logicahealth/eHMP,https://github.com/logicahealth/eHMP,"Historical Repository of eHMP code, including changes to create functional branches",6,5,6.0,HTML,2017-04-14T17:46:47Z,2024-03-12T12:41:48Z,2023-01-19T03:26:31Z,FALSE,[],https://github.com/logicahealth/eHMP/blob/2356516960cdb701996fe6273ac29aacced25101/rdk/product/tests/acceptance-tests/features/F117_Resource_Endpoint.feature,rdk/product/tests/acceptance-tests/features/F117_Resource_Endpoint.feature,1.0,685978.0,90.0
gematik/isik3-testsuite,https://github.com/gematik/isik3-testsuite,"This repository contains a test suite for conformance tests of the ISiK Stufe 3 specification (modules Basis, Terminplanung, Dokumentenaustausch, Medikation, Vitalparameter und Körpermaße)",5,2,5.0,HTML,2023-11-20T06:32:25Z,2025-05-16T14:09:51Z,2025-05-16T14:10:20Z,FALSE,[],https://github.com/gematik/isik3-testsuite/blob/eecad1c5f8e378d0d1d9e2fd29f093d8172cfc56/src/test/resources/features/Terminplanung/HealthcareService-Search.feature,src/test/resources/features/Terminplanung/HealthcareService-Search.feature,1.0,20327.0,1.0
