arquivo,repositorio,cenario_numero,nome_cenario,caminho_completo
ListingSearch_story_processado.txt,Cocolabs-SAS_cocorico,cenário 3,Search listing by features,Cocolabs-SAS_cocorico\ListingSearch_story_processado.txt
Message_story_processado.txt,Cocolabs-SAS_cocorico,cenário 4,Consult sent messages,Cocolabs-SAS_cocorico\Message_story_processado.txt
Review_story_processado.txt,Cocolabs-SAS_cocorico,cenário 5,User adds a review with invalid rating,Cocolabs-SAS_cocorico\Review_story_processado.txt
country_condition_2_story_processado.txt,coreshop_CoreShop,cenário 5,Create a new product when there are no active price rules,coreshop_CoreShop\country_condition_2_story_processado.txt
discount_percent_action_tax_100_and_free_shipping_and_gross_values_story_processado.txt,coreshop_CoreShop,cenário 4,Attempt to apply 100% discount voucher to an empty cart,coreshop_CoreShop\discount_percent_action_tax_100_and_free_shipping_and_gross_values_story_processado.txt
discount_percent_gross_action_story_processado.txt,coreshop_CoreShop,cenário 4,Apply voucher code on an empty cart,coreshop_CoreShop\discount_percent_gross_action_story_processado.txt
not_discountable_discount_amount_action_story_processado.txt,coreshop_CoreShop,cenário 1,Apply non-discountable rule to cart,coreshop_CoreShop\not_discountable_discount_amount_action_story_processado.txt
apply_story_processado.txt,cross-solution_YAWIK,cenário 2,Apply for a non-existent job,cross-solution_YAWIK\apply_story_processado.txt
insert_story_processado.txt,cross-solution_YAWIK,cenário 2,Create organization with duplicate name,cross-solution_YAWIK\insert_story_processado.txt
login_story_processado.txt,cross-solution_YAWIK,cenário 4,Login with invalid email format,cross-solution_YAWIK\login_story_processado.txt
update_2_story_processado.txt,cross-solution_YAWIK,cenário 4,Update multiple organization details,cross-solution_YAWIK\update_2_story_processado.txt
dora_metrics_story_processado.txt,DataDog_datadog-api-client-typescript,cenário 2,Unsuccessful DORA metrics request with invalid appKeyAuth,DataDog_datadog-api-client-typescript\dora_metrics_story_processado.txt
gcp_integration_1_story_processado.txt,DataDog_datadog-api-client-typescript,cenário 1,Create a new STS service account,DataDog_datadog-api-client-typescript\gcp_integration_1_story_processado.txt
logs_custom_destinations_story_processado.txt,DataDog_datadog-api-client-typescript,cenário 3,Retrieve a specific custom destination,DataDog_datadog-api-client-typescript\logs_custom_destinations_story_processado.txt
service_level_objectives_1_story_processado.txt,DataDog_datadog-api-client-typescript,cenário 1,Create a new SLO report,DataDog_datadog-api-client-typescript\service_level_objectives_1_story_processado.txt
admin_services_story_processado.txt,engineyard_rails_dev_directory,cenário 2,Remove an existing service,engineyard_rails_dev_directory\admin_services_story_processado.txt
admin_top_cities_story_processado.txt,engineyard_rails_dev_directory,cenário 4,Add a new top city with invalid information,engineyard_rails_dev_directory\admin_top_cities_story_processado.txt
dashboard_story_processado.txt,engineyard_rails_dev_directory,cenário 1,Provider views account overview on dashboard after login,engineyard_rails_dev_directory\dashboard_story_processado.txt
pages_story_processado.txt,engineyard_rails_dev_directory,cenário 5,Attempt to add a new page with missing required fields,engineyard_rails_dev_directory\pages_story_processado.txt
basket_management_story_processado.txt,FinAegis_core-banking-prototype-laravel,cenário 5,Attempt to create a basket asset with invalid composition,FinAegis_core-banking-prototype-laravel\basket_management_story_processado.txt
batch_processing_story_processado.txt,FinAegis_core-banking-prototype-laravel,cenário 5,Rebalance an existing asset basket,FinAegis_core-banking-prototype-laravel\batch_processing_story_processado.txt
financial_institutions_application_story_processado.txt,FinAegis_core-banking-prototype-laravel,cenário 5,Partnership application submission with invalid data,FinAegis_core-banking-prototype-laravel\financial_institutions_application_story_processado.txt
governance_voting_story_processado.txt,FinAegis_core-banking-prototype-laravel,cenário 2,Vote on an existing proposal with sufficient voting power,FinAegis_core-banking-prototype-laravel\governance_voting_story_processado.txt
admin_center_clicks_and_queries_story_processado.txt,GSA_search-gov,cenário 3,View clicked URLs from a specific query,GSA_search-gov\admin_center_clicks_and_queries_story_processado.txt
bulk_affiliate_styles_upload_story_processado.txt,GSA_search-gov,cenário 1,Upload a valid file within the size limit,GSA_search-gov\bulk_affiliate_styles_upload_story_processado.txt
odie_url_source_update_story_processado.txt,GSA_search-gov,cenário 2,Update document source for an invalid affiliate,GSA_search-gov\odie_url_source_update_story_processado.txt
search_elastic_story_processado.txt,GSA_search-gov,cenário 5,Search with multiple terms,GSA_search-gov\search_elastic_story_processado.txt
browsing_inventory_story_processado.txt,inventorypapa_free-dropshipping-automation-software,cenário 4,Browse tracked product variants with pagination,inventorypapa_free-dropshipping-automation-software\browsing_inventory_story_processado.txt
product_review_validation_1_story_processado.txt,inventorypapa_free-dropshipping-automation-software,cenário 3,Add product review with both title and comment,inventorypapa_free-dropshipping-automation-software\product_review_validation_1_story_processado.txt
seeing_orders_statistics_on_customer_details_page_story_processado.txt,inventorypapa_free-dropshipping-automation-software,cenário 4,View customer order statistics with different fulfillment statuses,inventorypapa_free-dropshipping-automation-software\seeing_orders_statistics_on_customer_details_page_story_processado.txt
sorting_payment_methods_by_position_story_processado.txt,inventorypapa_free-dropshipping-automation-software,cenário 3,Add new payment method to the end of the list,inventorypapa_free-dropshipping-automation-software\sorting_payment_methods_by_position_story_processado.txt
getExternalCallFilterBlackList_story_processado.txt,irontec_ivozprovider,cenário 4,Retrieve a non-existent external call filter blacklist by ID,irontec_ivozprovider\getExternalCallFilterBlackList_story_processado.txt
postHuntGroupMember_story_processado.txt,irontec_ivozprovider,cenário 4,Create a new hunt group member with invalid priority value,irontec_ivozprovider\postHuntGroupMember_story_processado.txt
removeDomains_2_story_processado.txt,irontec_ivozprovider,cenário 1,Attempt to delete a domain via API as super admin,irontec_ivozprovider\removeDomains_2_story_processado.txt
removeSpecialNumber_1_story_processado.txt,irontec_ivozprovider,cenário 4,Delete a special number with insufficient permissions,irontec_ivozprovider\removeSpecialNumber_1_story_processado.txt
_00503TaxRatesCatalog_story_processado.txt,IRPTeam_IRP,cenário 3,Create a tax rate with invalid rate value,IRPTeam_IRP\_00503TaxRatesCatalog_story_processado.txt
_00505CurrencyMovementType_story_processado.txt,IRPTeam_IRP,cenário 5,Attempt to delete a non-existent currency movement type,IRPTeam_IRP\_00505CurrencyMovementType_story_processado.txt
_00509PaymentTermsCatalog_story_processado.txt,IRPTeam_IRP,cenário 5,Delete a payment term,IRPTeam_IRP\_00509PaymentTermsCatalog_story_processado.txt
_0296Unbundling_story_processado.txt,IRPTeam_IRP,cenário 5,Unbundling document approval and inventory update,IRPTeam_IRP\_0296Unbundling_story_processado.txt
cli_story_processado.txt,karma-runner_karma,cenário 4,Start Karma server successfully,karma-runner_karma\cli_story_processado.txt
headers_story_processado.txt,karma-runner_karma,cenário 1,Set custom headers for a single file,karma-runner_karma\headers_story_processado.txt
launcher-error_story_processado.txt,karma-runner_karma,cenário 4,Successful browser connection,karma-runner_karma\launcher-error_story_processado.txt
tag_story_processado.txt,karma-runner_karma,cenário 4,Verify JavaScript version tag is ignored in non-Firefox browsers,karma-runner_karma\tag_story_processado.txt
chart-of-accounts_story_processado.txt,ledgersmb_LedgerSMB,cenário 2,Modify account properties,ledgersmb_LedgerSMB\chart-of-accounts_story_processado.txt
in-arrears-purchase_story_processado.txt,ledgersmb_LedgerSMB,cenário 4,COGS posting with sales entered before purchase,ledgersmb_LedgerSMB\in-arrears-purchase_story_processado.txt
login_story_processado.txt,ledgersmb_LedgerSMB,cenário 5,Accessing setup page,ledgersmb_LedgerSMB\login_story_processado.txt
search-batches_story_processado.txt,ledgersmb_LedgerSMB,cenário 2,Search for voucher batches by description,ledgersmb_LedgerSMB\search-batches_story_processado.txt
ColdStartToOnboardingScreenIOS_story_processado.txt,MetaMask_metamask-mobile,cenário 3,Wallet setup screen is displayed after cold start,MetaMask_metamask-mobile\ColdStartToOnboardingScreenIOS_story_processado.txt
NetworkFlow_story_processado.txt,MetaMask_metamask-mobile,cenário 5,Attempt to add a duplicate custom network,MetaMask_metamask-mobile\NetworkFlow_story_processado.txt
RequestTokenFlow_story_processado.txt,MetaMask_metamask-mobile,cenário 1,Request native token successfully,MetaMask_metamask-mobile\RequestTokenFlow_story_processado.txt
SendEthGasApiDown_story_processado.txt,MetaMask_metamask-mobile,cenário 5,Cancel Send ETH transaction when Gas API is down,MetaMask_metamask-mobile\SendEthGasApiDown_story_processado.txt
edit_block_of_links_story_processado.txt,noosfero_noosfero,cenário 1,Edit link block with valid link and icon,noosfero_noosfero\edit_block_of_links_story_processado.txt
forum_story_processado.txt,noosfero_noosfero,cenário 3,Forum creation with invalid input,noosfero_noosfero\forum_story_processado.txt
manage_enterprises_story_processado.txt,noosfero_noosfero,cenário 1,Enterprise owner views enterprise management option,noosfero_noosfero\manage_enterprises_story_processado.txt
status_story_processado.txt,noosfero_noosfero,cenário 3,Configure new status in community settings,noosfero_noosfero\status_story_processado.txt
agoras_story_processado.txt,parti-renaissance_espace-adherent,cenário 1,Unauthenticated user cannot access Agoras API,parti-renaissance_espace-adherent\agoras_story_processado.txt
scopes_story_processado.txt,parti-renaissance_espace-adherent,cenário 3,Request scopes with invalid OAuth token,parti-renaissance_espace-adherent\scopes_story_processado.txt
user_controller_donation_story_processado.txt,parti-renaissance_espace-adherent,cenário 3,No donations to display,parti-renaissance_espace-adherent\user_controller_donation_story_processado.txt
zones_story_processado.txt,parti-renaissance_espace-adherent,cenário 5,Autocomplete zones for authenticated user outside assigned area,parti-renaissance_espace-adherent\zones_story_processado.txt
custom_educator_listing_1_story_processado.txt,SFDigitalServices_sf-dahlia-web,cenário 4,Access Custom Educator Listing application form,SFDigitalServices_sf-dahlia-web\custom_educator_listing_1_story_processado.txt
custom_educator_listing_2_story_processado.txt,SFDigitalServices_sf-dahlia-web,cenário 1,Successful application with valid job classification code,SFDigitalServices_sf-dahlia-web\custom_educator_listing_2_story_processado.txt
nrhp_story_processado.txt,SFDigitalServices_sf-dahlia-web,cenário 4,Upload supporting documents for NRHP claim,SFDigitalServices_sf-dahlia-web\nrhp_story_processado.txt
sign_in_while_applying_story_processado.txt,SFDigitalServices_sf-dahlia-web,cenário 3,Continue application anonymously after attempting to sign in,SFDigitalServices_sf-dahlia-web\sign_in_while_applying_story_processado.txt
admin_edits_welcome_email_story_processado.txt,sharetribe_sharetribe,cenário 1,Edit welcome email content with valid input,sharetribe_sharetribe\admin_edits_welcome_email_story_processado.txt
search_story_processado.txt,sharetribe_sharetribe,cenário 4,Apply custom numeric field filter,sharetribe_sharetribe\search_story_processado.txt
user_checks_inbox_story_processado.txt,sharetribe_sharetribe,cenário 5,User navigates between received and sent messages,sharetribe_sharetribe\user_checks_inbox_story_processado.txt
user_filters_listings_by_custom_fields_story_processado.txt,sharetribe_sharetribe,cenário 4,Filter listings by category selection,sharetribe_sharetribe\user_filters_listings_by_custom_fields_story_processado.txt
choosing_province_for_country_story_processado.txt,Sylius_Sylius,cenário 2,Fill shipping address with country without provinces,Sylius_Sylius\choosing_province_for_country_story_processado.txt
returning_from_addressing_step_to_shop_homepage_story_processado.txt,Sylius_Sylius,cenário 3,Visitor can navigate back to checkout,Sylius_Sylius\returning_from_addressing_step_to_shop_homepage_story_processado.txt
seeing_shipping_method_when_all_units_match_to_shipping_category_story_processado.txt,Sylius_Sylius,cenário 1,Choose shipping method for items with single shipping category,Sylius_Sylius\seeing_shipping_method_when_all_units_match_to_shipping_category_story_processado.txt
sorting_payment_methods_by_position_story_processado.txt,Sylius_Sylius,cenário 3,Add new payment method to the end of the list,Sylius_Sylius\sorting_payment_methods_by_position_story_processado.txt
min_bootstrap_negative_story_processado.txt,uyuni-project_uyuni,cenário 2,Register a machine that is already registered,uyuni-project_uyuni\min_bootstrap_negative_story_processado.txt
min_config_state_channel_story_processado.txt,uyuni-project_uyuni,cenário 1,Create a new state channel,uyuni-project_uyuni\min_config_state_channel_story_processado.txt
proxy_story_processado.txt,uyuni-project_uyuni,cenário 1,Register containerized proxy with valid details,uyuni-project_uyuni\proxy_story_processado.txt
srv_create_fake_repositories_story_processado.txt,uyuni-project_uyuni,cenário 4,Create a fake repository for multiple child channels,uyuni-project_uyuni\srv_create_fake_repositories_story_processado.txt
0026-AUCT-029_story_processado.txt,vegaprotocol_vega,cenário 1,Market in opening auction with overlapping orders,vegaprotocol_vega\0026-AUCT-029_story_processado.txt
0032-PRIM-025_story_processado.txt,vegaprotocol_vega,cenário 4,Market data is updated after auction termination,vegaprotocol_vega\0032-PRIM-025_story_processado.txt
0068-MATC-073_story_processado.txt,vegaprotocol_vega,cenário 5,Post-only limit GFN order is placed on the book,vegaprotocol_vega\0068-MATC-073_story_processado.txt
trading_fees_spot_story_processado.txt,vegaprotocol_vega,cenário 1,Order placement with sufficient balance,vegaprotocol_vega\trading_fees_spot_story_processado.txt
