arquivo,total_erros,tipos_erro,mensagens
reqnroll_Reqnroll\hooks_named_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Hooks are special steps that run before or after each scenario's steps [*. Hooks can be given a name. Which is nice for reporting. Otherwise they work exactly the same as regular hooks.*]
reqnroll_Reqnroll\hooks_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\hooks_undefined_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\minimal_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Cucumber doesn't execute this markdown, but @cucumber/react renders it [*. * This is * a bullet * list*]"
reqnroll_Reqnroll\NUnitRetry_retry_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Some Cucumber implementations support a Retry mechanism, where test cases that fail can be retried up to a limited number of attempts in the same test run [*. Non-passing statuses other than FAILED won't trigger a retry, as they are not going to pass however many times we attempt them.*]"
reqnroll_Reqnroll\OrderedHookSupport_story.txt,1,1 - well_formed.no_means,1 - Add what you want to achieve
reqnroll_Reqnroll\parameter_types_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Cucumber lets you define your own parameter types, which can be used in Cucumber Expressions [*. This lets you define a precise domain-specific vocabulary which can be used to generate a glossary with examples taken from your scenarios. Parameter types also enable you to transform strings and tables into different types.*]"
reqnroll_Reqnroll\ParsingErrors_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\pending_story.txt,4,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation; 4 - minimal.brackets,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - During development, step definitions can signal at runtime that they are not yet implemented (or ""pending"") by returning or throwing a particular value [*. This causes subsequent steps in the scenario to be skipped, and the overall result to be treated as a failure.*]; 4 - During development, step definitions can signal at runtime that they are not yet implemented  [*(or ""pending"")*]  by returning or throwing a particular value. This causes subsequent steps in the scenario to be skipped, and the overall result to be treated as a failure."
reqnroll_Reqnroll\regular_expression_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Cucumber supports both Cucumber and regular expressions in step definitions [*. This shows a sample that uses a regular expression.*]
reqnroll_Reqnroll\ReportPortalPluginTestFeature_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\retry_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Some Cucumber implementations support a Retry mechanism, where test cases that fail can be retried up to a limited number of attempts in the same test run [*. Non-passing statuses other than FAILED won't trigger a retry, as they are not going to pass however many times we attempt them.*]"
reqnroll_Reqnroll\retry_xRetry_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Some Cucumber implementations support a Retry mechanism, where test cases that fail can be retried up to a limited number of attempts in the same test run [*. Non-passing statuses other than FAILED won't trigger a retry, as they are not going to pass however many times we attempt them.*]"
reqnroll_Reqnroll\ScenarioIsCorrectInParallelExecution_1_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\ScenarioIsCorrectInParallelExecution_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\ScenarioOutlines_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\ScopedSteps_story.txt,3,1 - well_formed.no_means; 2 - minimal.punctuation; 3 - minimal.brackets,"1 - Add what you want to achieve; 2 - As a developer I would like to be able to scope the step definitions (bindings) on method and class level So that I can implement test logic differently depending on the usage context Attribute usage [*: [Scope(Tag = ""mytag"", Feature = ""feature title"", Scenario = ""scenario title"")] Future ideas: * scope for previous steps ([StepContext(Step = ""my previous step for doing something"")]) * use regex in scopes ([StepContext(Scenario = ""(my )?scenario title"")]) Scoped matches are ""stronger"" than non-scoped matches (no ambiguouity). Given  there is a feature file in the project as And  the following step definitions When  I execute the tests Then  the binding method 'WhenIDoSomethingWithMyTag' is executed The attribute can be also placed on the binding class. Given  there is a feature file in the project as And  the following binding class When  I execute the tests Then  the binding method 'WhenIDoSomethingWithMyTag' is executed More scope matches (e.g. tag + feature) are ""stronger"" than less scope matches (e.g. tag) (no ambiguouity) Given  there is a feature file in the project as And  the following step definition When  I execute the tests Then  the binding method 'WhenIDoSomethingInSimpleFeatureAndMyTag' is executed*]; 3 - As a developer I would like to be able to scope the step definitions  [*(bindings)*]  on method and class level So that I can implement test logic differently depending on the usage context Attribute usage:  [*[scope(tag = ""mytag"", feature = ""feature title"", scenario = ""scenario title"")]*] "")*] ] Future ideas: * scope for previous steps  [*([stepcontext(step = ""my previous step for doing something"")*] g"")]*] ) * use regex in scopes  [*([stepcontext(scenario = ""(my )*] y )?scenario title"")]*] ) Scoped matches are ""stronger"" than non-scoped matches  [*(no ambiguouity)*] . Given  there is a feature file in the project as And  the following step definitions When  I execute the tests Then  the binding method 'WhenIDoSomethingWithMyTag' is executed The attribute can be also placed on the binding class. Given  there is a feature file in the project as And  the following binding class When  I execute the tests Then  the binding method 'WhenIDoSomethingWithMyTag' is executed More scope matches  [*(e.g. tag + feature)*]  are ""stronger"" than less scope matches  [*(e.g. tag)*]   [*(no ambiguouity)*]  Given  there is a feature file in the project as And  the following step definition When  I execute the tests Then  the binding method 'WhenIDoSomethingInSimpleFeatureAndMyTag' is executed"
reqnroll_Reqnroll\skipped_story.txt,4,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation; 4 - minimal.brackets,1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Hooks and step definitions are able to signal at runtime that the scenario should be skipped by raising a particular kind of exception status (For example PENDING or SKIPPED) [*. This can be useful in certain situations e.g. the current environment doesn't have the right conditions for running a particular scenario.*]; 4 - Hooks and step definitions are able to signal at runtime that the scenario should be skipped by raising a particular kind of exception status  [*(for example pending or skipped)*] . This can be useful in certain situations e.g. the current environment doesn't have the right conditions for running a particular scenario.
reqnroll_Reqnroll\stack_traces_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Stack traces can help you diagnose the source of a bug [*. Cucumber provides helpful stack traces that includes the stack frames from the Gherkin document and remove uninteresting frames by default. The first line of the stack trace will contain a reference to the feature file.*]
reqnroll_Reqnroll\StepDefinitionsWithoutRegex_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - The the localized prefixes are detected if the feature language or the binding culture is set in the config [*. In any case, the English prefixes and the prefix-less method names will always work. Given  there is a feature file in the project as And  a 'Given' step definition with name 'ich_Knopf_drücke' And  the feature language is 'de-DE' When  I execute the tests Then  the binding method 'ich_Knopf_drücke' is executed once Examples: | case | keyword | method prefix | | No prefix | Angenommen |  | | English prefix | Angenommen | Given_ | | Single word licalized prefix | Angenommen | Angenommen_ | | Multiple word licalized prefix | Gegeben sei | Gegeben_sei_ | | Mixed keyword variants | Gegeben sei | Angenommen_ |*]"
reqnroll_Reqnroll\Template_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\undefined_story.txt,4,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation; 4 - uniform.uniform,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - At runtime, Cucumber may encounter a step in a scenario that it cannot match to a step definition [*. In these cases, the scenario is not able to run and so the step status will be UNDEFINED, with subsequent steps being SKIPPED and the overall result will be FAILURE.*]; 4 - Use the most common template: So"
reqnroll_Reqnroll\unknown_parameter_type_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Cucumber will generate an error message if a step definition registers an unknown parameter type, but the suite will run [*. Additionally, because the step is effectively undefined, a suggestion will also be created.*]"
reqnroll_Reqnroll\unused_steps_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Depending on the run, some step definitions may not be used [*. This is valid, and the step definitions are still includes in the stream of messages, which allows formatters to report on step usage if desired.*]"
